Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG\.\Pick Place\Pick Place for EEG_Electrodes.csv

========================================================================================================================
File Design Information:

Date:       16/03/26
Time:       17:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R4H","AF0201JR-071ML","TopLayer","ERA1A_(0201)","191.1350","149.2710","90","Resistor 1M"
"R3H","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","188.2140","144.1910","90","Resistor 68k"
"R2H","ERA-1AEB101C","TopLayer","ERA1A_(0201)","188.0870","152.6190","90","Resistor 100 ohms"
"R1H","ERA-1AEB101C","TopLayer","ERA1A_(0201)","186.8170","144.0640","90","Resistor 100 ohms"
"IC1H","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","187.9600","148.1280","90","Integrated Circuit"
"C1H","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","186.9440","152.4460","90","Capacitor"
"J1","10FHH-SM1-GAN-TF FPC","TopLayer","10FHH-SM1-GAN-TF_FPC","112.2720","190.1190","0",""
"C1B","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","85.8520","231.5210","0","Capacitor"
"C1C","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","93.0450","247.3960","0","Capacitor"
"C1D","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","126.6190","263.3980","0","Capacitor"
"C1E","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","137.5410","229.7430","0","Capacitor"
"C1F","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","169.7990","228.6000","0","Capacitor"
"C1G","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","173.6970","161.6710","0","Capacitor"
"E2","EEG_Electrode","BottomLayer","EEG_Electrode","82.9310","226.6950","180","EEG_Electrode"
"E3","EEG_Electrode","TopLayer","EEG_Electrode","88.5190","239.7760","0","EEG_Electrode"
"E4","EEG_Electrode","TopLayer","EEG_Electrode","110.3630","256.5400","0","EEG_Electrode"
"E5","EEG_Electrode","TopLayer","EEG_Electrode","131.5720","247.1420","0","EEG_Electrode"
"E6","EEG_Electrode","TopLayer","EEG_Electrode","176.0220","235.5850","0","EEG_Electrode"
"E7","EEG_Electrode","TopLayer","EEG_Electrode","179.3240","152.1460","0","EEG_Electrode"
"E8","EEG_Electrode","TopLayer","EEG_Electrode","197.8660","144.5260","0","EEG_Electrode"
"IC1B","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","84.5080","225.7350","0","Integrated Circuit"
"IC1C","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","92.9180","250.9520","0","Integrated Circuit"
"IC1D","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","119.2530","258.1910","0","Integrated Circuit"
"IC1E","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","138.5570","235.3310","0","Integrated Circuit"
"IC1F","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","163.6290","233.7210","0","Integrated Circuit"
"IC1G","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","167.6400","156.7180","90","Integrated Circuit"
"R1B","ERA-1AEB101C","TopLayer","ERA1A_(0201)","87.2490","231.3940","0","Resistor 100 ohms"
"R1C","ERA-1AEB101C","TopLayer","ERA1A_(0201)","97.4900","246.7610","0","Resistor 100 ohms"
"R1D","ERA-1AEB101C","TopLayer","ERA1A_(0201)","126.7460","260.2230","0","Resistor 100 ohms"
"R1E","ERA-1AEB101C","TopLayer","ERA1A_(0201)","136.2710","229.7430","0","Resistor 100 ohms"
"R1F","ERA-1AEB101C","TopLayer","ERA1A_(0201)","164.3380","228.4730","0","Resistor 100 ohms"
"R1G","ERA-1AEB101C","TopLayer","ERA1A_(0201)","172.4270","161.9250","0","Resistor 100 ohms"
"R2B","ERA-1AEB101C","TopLayer","ERA1A_(0201)","83.1850","231.1400","0","Resistor 100 ohms"
"R2C","ERA-1AEB101C","TopLayer","ERA1A_(0201)","99.0140","246.6340","0","Resistor 100 ohms"
"R2D","ERA-1AEB101C","TopLayer","ERA1A_(0201)","126.4920","260.7310","0","Resistor 100 ohms"
"R2E","ERA-1AEB101C","TopLayer","ERA1A_(0201)","141.6050","229.8700","0","Resistor 100 ohms"
"R2F","ERA-1AEB101C","TopLayer","ERA1A_(0201)","167.6400","228.7270","0","Resistor 100 ohms"
"R2G","ERA-1AEB101C","TopLayer","ERA1A_(0201)","170.6490","161.9250","0","Resistor 100 ohms"
"R3B","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","84.7090","231.0130","0","Resistor 68k"
"R3C","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","98.2520","246.2530","0","Resistor 68k"
"R3D","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","124.9680","261.7470","0","Resistor 68k"
"R3E","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","140.2080","229.7430","0","Resistor 68k"
"R3F","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","166.2430","228.7270","0","Resistor 68k"
"R3G","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","167.9820","162.1790","0","Resistor 68k"
"R4B","AF0201JR-071ML","TopLayer","ERA1A_(0201)","81.7880","231.2670","0","Resistor 1M"
"R4C","AF0201JR-071ML","TopLayer","ERA1A_(0201)","96.6010","246.1260","0","Resistor 1M"
"R4D","AF0201JR-071ML","TopLayer","ERA1A_(0201)","126.1110","261.4930","0","Resistor 1M"
"R4E","AF0201JR-071ML","TopLayer","ERA1A_(0201)","141.9860","229.4890","0","Resistor 1M"
"R4F","AF0201JR-071ML","TopLayer","ERA1A_(0201)","162.5600","228.6000","0","Resistor 1M"
"R4G","AF0201JR-071ML","TopLayer","ERA1A_(0201)","169.6330","162.0520","0","Resistor 1M"
"R4A","AF0201JR-071ML","TopLayer","ERA1A_(0201)","99.1060","197.6120","0","Resistor 1M"
"R3A","AF0201JR-0768KL","TopLayer","ERA1A_(0201)","96.4390","197.7390","0","Resistor 68k"
"R2A","ERA-1AEB101C","TopLayer","ERA1A_(0201)","94.9150","197.7390","0","Resistor 100 ohms"
"R1A","ERA-1AEB101C","TopLayer","ERA1A_(0201)","97.9630","197.7390","0","Resistor 100 ohms"
"C1A","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","100.4520","197.6120","0","Capacitor"
"IC1A","LTC6078ACMS8#TRPBF","TopLayer","SOP65P490X110-8N","97.7090","193.8020","0","Integrated Circuit"
"E1","EEG_Electrode","TopLayer","EEG_Electrode","87.2490","205.3590","0","EEG_Electrode"
