Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG\.\Pick Place\Pick Place for EEG_Electrodesv2.csv

========================================================================================================================
File Design Information:

Date:       17/03/26
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C3","GRM035R61C225ME01D","TopLayer","GRM033D70J224ME01D","50.7238","100.0930","90","Capacitor 2.2uF 0201"
"C2","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","49.5554","100.0422","270","Capacitor 0.1uF 0201"
"E1G","EEG_Electrode","TopLayer","EEG_Electrode","163.8046","7.2644","330","EEG_Electrode"
"E1F","EEG_Electrode","TopLayer","EEG_Electrode","140.6652","16.7386","338","EEG_Electrode"
"E1E","EEG_Electrode","TopLayer","EEG_Electrode","139.5984","97.5360","0","EEG_Electrode"
"E1D","EEG_Electrode","TopLayer","EEG_Electrode","97.9988","108.4157","305","EEG_Electrode"
"E1C","EEG_Electrode","TopLayer","EEG_Electrode","80.8360","120.5833","20","EEG_Electrode"
"E1B","EEG_Electrode","BottomLayer","EEG_Electrode","55.0164","105.7148","310","EEG_Electrode"
"E1A","EEG_Electrode","TopLayer","EEG_Electrode","56.4230","64.1723","315","EEG_Electrode"
"R3","ERA1AEB103C","TopLayer","ERA1A_(0201)","48.4124","96.4692","0","Resistor 10k"
"R5G","ERA1AEB103C","TopLayer","ERA1A_(0201)","157.8487","10.4493","150","Resistor 10k"
"R5F","ERA1AEB103C","TopLayer","ERA1A_(0201)","134.3855","19.1368","158","Resistor 10k"
"R5E","ERA1AEB103C","TopLayer","ERA1A_(0201)","132.9338","97.3004","180","Resistor 10k"
"R5D","ERA1AEB103C","TopLayer","ERA1A_(0201)","93.9831","113.7399","125","Resistor 10k"
"R5C","ERA1AEB103C","TopLayer","ERA1A_(0201)","74.4761","118.0396","200","Resistor 10k"
"R5B","ERA1AEB103C","TopLayer","ERA1A_(0201)","59.3539","110.9951","50","Resistor 10k"
"R5A","ERA1AEB103C","TopLayer","ERA1A_(0201)","51.5438","68.7183","135","Resistor 10k"
"R4G","AF0201JR-071ML","TopLayer","ERA1A_(0201)","150.5291","15.3286","330","Resistor 1M"
"R4F","AF0201JR-071ML","TopLayer","ERA1A_(0201)","126.4580","22.9500","338","Resistor 1M"
"R4E","AF0201JR-071ML","TopLayer","ERA1A_(0201)","124.1552","97.8662","0","Resistor 1M"
"R4D","AF0201JR-071ML","TopLayer","ERA1A_(0201)","89.4114","121.2555","305","Resistor 1M"
"R4C","AF0201JR-071ML","TopLayer","ERA1A_(0201)","66.0334","115.5688","20","Resistor 1M"
"R4B","AF0201JR-071ML","TopLayer","ERA1A_(0201)","65.4301","117.3562","230","Resistor 1M"
"R4A","AF0201JR-071ML","TopLayer","ERA1A_(0201)","45.7365","75.3258","315","Resistor 1M"
"R2G","ERA-1AEB101C","TopLayer","ERA1A_(0201)","150.2156","14.2778","60","Resistor 100 ohms"
"R2F","ERA-1AEB101C","TopLayer","ERA1A_(0201)","126.2939","21.8657","68","Resistor 100 ohms"
"R2E","ERA-1AEB101C","TopLayer","ERA1A_(0201)","124.4092","96.7994","90","Resistor 100 ohms"
"R2D","ERA-1AEB101C","TopLayer","ERA1A_(0201)","88.6832","120.4355","35","Resistor 100 ohms"
"R2C","ERA-1AEB101C","TopLayer","ERA1A_(0201)","66.6370","114.6532","110","Resistor 100 ohms"
"R2B","ERA-1AEB101C","TopLayer","ERA1A_(0201)","64.4497","117.8473","320","Resistor 100 ohms"
