Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","2450AT18B100","Antenna","ANT1","","Not managed","","1","","","","","","",""
"","GRM033R6YA104KE14D","Capacitor 0.1uF 0201","C1, C4, C15, C19, C33, C35, C43","","Not managed","","7","","","","","","",""
"","CL03A105MO3NRNH","Capacitor 1uF 0201","C2, C14, C16, C17, C27, C34, C44, C45","","Not managed","","8","","","","","","",""
"","GRM035R61C225ME01D","Capacitor 2.2uF 0201","C3, C18, C32","","Not managed","","3","","","","","","",""
"","CL05A106MQ5NUNC","Capacitor 10uF 0402 6.3V","C5, C6, C20, C42","","Not managed","","4","","","","","","",""
"","GRM033R6YA104KE14D","Capacitor, X7R, ±10%","C7, C8, C9","","Not managed","","3","","","","N.A.","N.A.","",""
"","CL05A106MQ5NUNC","Capacitor 10uF 0402 6.3V","C10","","Not managed","","1","","","","N.A.","N.A.","",""
"","GRM033R6YA104KE14D","Capacitor, X7R, ±10% 0201","C11","","Not managed","","1","","","","N.A.","N.A.","",""
"","GRM158R61A226ME15D","Capacitor 22uF 0402","C12, C46, C47","","Not managed","","3","","","","","","",""
"","CL21A107MQYNNWE","Capacitor 100uF","C13","","Not managed","","1","","","","","","",""
"","500R07S1R2BV4T","Description","C21","","Not managed","","1","","","","","","",""
"","GRM035R61C225ME01D","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%","C22, C28","","Not managed","","2","Murata","GRM033D80E225ME47D","Volume Production","Mouser","81-GRM033D80E225ME7D","",""
"","GJM0335C1E1R5WB01","Capacitor, 1.5pF, NP0, ±0.05pF, 25V, High Q","C23","","Not managed","","1","Murata","GJM0335C1E1R5WB01D","Volume Production","Mouser","81-GJM0335C1E1R5WB1D","0.1","0.1"
"","GJM0335C1E2R0WB01","Capacitor, 2pF, NP0, ±0.05pF, 25V","C24","","Not managed","","1","","","","N.A.","N.A.","",""
"","GJM0335C1HR30WB01D","Capacitor, C0G, ±0.1pF, 50V","C25","","Not managed","","1","Murata","GRM0335C1HR30BA01D","Volume Production","Mouser","81-GRM0335C1HR30BA1D","0.1","0.1"
"","GRM0335C1H102GE01D","Capacitor 1nF","C26","","Not managed","","1","","","","","","",""
"","GRM033R70J103KA01D","Capacitor, 10nF","C29","","Not managed","","1","Murata","GRM033R70J103KA01D","Volume Production","DigiKey","490-1262-1-ND","0.08","0.08"
"","GRM033R71A222KA01D","Capacitor, X7R, ±10%, 10V 2.2nF","C30","","Not managed","","1","","","","N.A.","N.A.","",""
"","GRM0335C1H221FA01D","Chip Cap 0201","C31","","Not managed","","1","","","","N.A.","N.A.","",""
"","GRM0335C1H221FA01D","Capacitor 220pF","C36, C37, C38, C39, C40, C41","","Not managed","","6","","","","","","",""
"","ESDALC8-1BF4","Diode ESD (Bi-directional)","D1","","Not managed","","1","","","","","","",""
"","0402L050SL","Resettable Fuse","F1, F2","","Not managed","","2","","","","","","",""
"","BLM03AX121SN1D","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max","FB1","","Not managed","","1","Murata","BLM03AX121SN1D","Volume Production","Mouser","81-BLM03AX121SN1D","0.1","0.1"
"","ADS1299IPAG","Integrated Circuit","IC1","","Not managed","","1","","","","","","",""
"","NPM1100-QDAA-R7","Integrated Circuit","IC2","","Not managed","","1","","","","","","",""
"","TPD4E1B06DRLR","Integrated Circuit","IC3","","Not managed","","1","","","","","","",""
"","TPS61023DRLR","Integrated Circuit","IC4","","Not managed","","1","","","","","","",""
"","10FHH-SM1-GAN-TF_LF__SN_","Connector","J1","","Not managed","","1","","","","","","",""
"","TC2030-MCP","Connector","J2","","Not managed","","1","","","","","","",""
"","GT-USB-7055BB","Connector","J3","","Not managed","","1","","","","","","",""
"","S2B-PH-SM4-TB_LF__SN_","Connector","J4","","Not managed","","1","","","","","","",""
"","MBKK1608T2R2M","Inductor","L1","","Not managed","","1","","","","","","",""
"","MLZ1608M4R7WT000","Inductor, 120mA, ±20%, 0.65R","L2","","Not managed","","1","TDK","MLZ1608M4R7WT000","Volume Production","Mouser","810-MLZ1608M4R7WT000","0.1","0.1"
"","LQP03HQ2N7B02","Inductor, 2.7nH, 600mA, ±0.1nH, 120mOhm","L3","","Not managed","","1","Murata","LQP03HQ2N7B02D","Volume Production","DigiKey","490-13909-1-ND","0.12","0.12"
"","LQP03HQ3N5B02","Inductor, 3.5nH, 500mA, ±0.1nH, 170mOhm","L4, L5","","Not managed","","2","Murata","LQP03HQ3N5B02D","Volume Production","DigiKey","490-13925-1-ND","0.12","0.24"
"","L-07C3N3SV6T","Inductor","L6","","Not managed","","1","","","","","","",""
"","L-07C2N7SV6T","Inductor","L7","","Not managed","","1","","","","","","",""
"","DFE18SAN1R0MG0L","Inductor","L8","","Not managed","","1","","","","","","",""
"","APG0603SEC-E-TT","LED","LED1","","Not managed","","1","","","","","","",""
"","DMN31D5UFZ-7B","MOSFET (N-Channel)","Q1","","Not managed","","1","","","","","","",""
"","ERA1AEB103C","Resistor 10k","R1, R3, R4, R7, R8, R9, R10, R12, R13, R14, R16, R20, R21, R22, R24, R25, R26, R27, R29","","Not managed","","19","","","","","","",""
"","RC0201FR-071K8L","Resistor 1.8k","R2","","Not managed","","1","","","","","","",""
"","AF0201JR-071ML","Resistor 1M","R5, R11, R15, R19","","Not managed","","4","","","","","","",""
"","RC0201FR-071K8L","Resistor 1.8k","R6","","Not managed","","1","","","","N.A.","N.A.","",""
"","RC0201JR-075K1L","Resistor 5.1k","R17, R18","","Not managed","","2","","","","","","",""
"","RC0201JR-07680RL","Resistor","R23","","Not managed","","1","","","","","","",""
"","AC0201FR-0776K8L","AC0201FR-0776K8L 76.8k","R28","","Not managed","","1","","","","","","",""
"","MK-11C04-G013","Switch","S1","","Not managed","","1","","","","","","",""
"","TP","","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31","","Not managed","","31","","","","","","",""
"","nRF54L15-QFAA","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4 and 2.4GHz proprietary Wireless MCU","U1","","Not managed","","1","","","","Nordic Semiconductor","nRF54L15-QFAAC00","",""
"","LIS2DW12TR","ACCEL 2-16G I2C/SPI 12LGA","U2","CMP-12175-000006-1","New From Design","Up to date","1","STMicroelectronics","LIS2DW12TR","Volume Production","Newark","LIS2DW12TR","1.03","1.03"
"","NCP163AMX500TBG","NCP163AMX500TBG","U3","","Not managed","","1","","","","","","",""
"","ECS-320-8-37B2-CTN-TR","Crystal or Oscillator","Y1","","Not managed","","1","","","","","","",""
