Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG_Mainboard\.\Pick Place\Pick Place for EEG_Thesis.csv

========================================================================================================================
File Design Information:

Date:       17/03/26
Time:       13:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J?","GT-USB-7055BB","TopLayer","GTUSB7055BB","152.7334","39.5024","90","Connector"
"U3","NCP163AMX500TBG","TopLayer","XDFN4_711AJ_ONS","159.4358","35.6870","270","NCP163AMX500TBG"
"J2","TC2030-MCP","TopLayer","TC2030MCP","151.3078","48.0822","90","Connector"
"U1","nRF54L15-QFAA","TopLayer","NRF54L15_CUSTOM","172.0498","39.2902","270","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4 and 2.4GHz proprietary Wireless MCU"
"Y1","ECS-320-8-37B2-CTN-TR","TopLayer","ECS320837B2CTNTR","175.5394","33.4264","180","Crystal or Oscillator"
"U2","LIS2DW12TR","TopLayer","FP-LGA12-DM00170568-MFG","151.4597","53.9122","0","ACCEL 2-16G I2C/SPI 12LGA"
"TP21","TP","TopLayer","TP","204.6986","20.6248","90",""
"TP20","TP","TopLayer","TP","198.8566","20.6248","90",""
"TP18","TP","TopLayer","TP","187.9854","24.4940","90",""
"TP24","TP","TopLayer","TP","190.6524","22.3774","90",""
"TP19","TP","TopLayer","TP","195.7324","20.5994","90",""
"TP22","TP","TopLayer","TP","192.3034","21.6154","90",""
"TP23","TP","TopLayer","TP","189.0522","21.7932","90",""
"TP17","TP","TopLayer","TP","193.1924","23.6982","90",""
"TP16","TP","TopLayer","TP","192.3542","19.6342","90",""
"TP15","TP","TopLayer","TP","194.0560","18.5420","90",""
"TP14","TP","TopLayer","TP","190.7286","16.7640","90",""
"TP13","TP","TopLayer","TP","198.3994","16.8402","90",""
"TP12","TP","TopLayer","TP","201.1680","18.5420","90",""
"TP11","TP","TopLayer","TP","194.6402","23.5712","90",""
"TP10","TP","TopLayer","TP","197.0786","23.4272","90",""
"TP9","TP","TopLayer","TP","201.0156","22.9700","90",""
"TP8","TP","TopLayer","TP","194.0560","21.3190","90",""
"TP7","TP","TopLayer","TP","191.5414","24.1554","90",""
"TP6","TP","TopLayer","TP","197.3072","20.2522","90",""
"TP5","TP","TopLayer","TP","200.3552","19.7950","90",""
"TP4","TP","TopLayer","TP","189.8396","24.2824","90",""
"TP3","TP","TopLayer","TP","190.1952","18.7452","90",""
"TP2","TP","TopLayer","TP","188.7982","20.2184","90",""
"TP1","TP","TopLayer","TP","190.8302","20.3962","90",""
"S1","MK-11C04-G013","TopLayer","MK11C04G013","163.7030","27.6535","0","Switch"
"R29","ERA1AEB103C","TopLayer","ERA1A_(0201)","163.9062","30.0228","0","Resistor 10k"
"R28","AC0201FR-0776K8L","TopLayer","RESC0603X26N","162.2806","30.1244","180","AC0201FR-0776K8L 76.8k"
"R27","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","45.1974","0","Resistor 10k"
"R26","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","45.9594","0","Resistor 10k"
"R25","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","46.6960","0","Resistor 10k"
"R24","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","47.4580","0","Resistor 10k"
"R23","RC0201JR-07680RL","TopLayer","RESC0603X26N","165.8874","30.9626","90","Resistor"
"R22","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","50.1504","180","Resistor 10k"
"R21","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","50.9124","180","Resistor 10k"
"R20","ERA1AEB103C","TopLayer","ERA1A_(0201)","159.0294","40.8286","270","Resistor 10k"
"R19","AF0201JR-071ML","TopLayer","ERA1A_(0201)","176.0220","37.7190","90","Resistor 1M"
"R18","RC0201JR-075K1L","TopLayer","RESC0603X26N","141.6558","36.9824","90","Resistor 5.1k"
"R17","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2542","48.9312","180","Resistor 10k"
"R16","RC0201JR-075K1L","TopLayer","RESC0603X26N","145.7960","36.7284","90","Resistor 5.1k"
"R15","AF0201JR-071ML","TopLayer","ERA1A_(0201)","176.7586","37.7190","270","Resistor 1M"
"R14","ERA1AEB103C","TopLayer","ERA1A_(0201)","149.4277","53.2264","90","Resistor 10k"
"R13","ERA1AEB103C","TopLayer","ERA1A_(0201)","149.4277","54.5472","270","Resistor 10k"
"R12","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.6212","52.1824","90","Resistor 10k"
"R11","AF0201JR-071ML","TopLayer","ERA1A_(0201)","176.0220","36.4236","270","Resistor 1M"
"R10","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8498","46.0864","270","Resistor 10k"
"R9","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8244","47.7628","180","Resistor 10k"
"R8","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8244","48.5502","180","Resistor 10k"
"R7","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8752","50.3282","180","Resistor 10k"
"R6","RC0201FR-071K8L","TopLayer","0201_GENERIC_RES","171.1960","34.5186","180","Resistor 1.8k"
"R5","AF0201JR-071ML","TopLayer","ERA1A_(0201)","164.4142","40.2190","0","Resistor 1M"
"R4","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8752","51.1156","180","Resistor 10k"
"R3","ERA1AEB103C","TopLayer","ERA1A_(0201)","169.8752","53.2492","180","Resistor 10k"
"R2","RC0201FR-071K8L","TopLayer","RESC0603X26N","160.6804","34.7218","270","Resistor 1.8k"
"R1","ERA1AEB103C","TopLayer","ERA1A_(0201)","161.7980","33.0200","0","Resistor 10k"
"Q1","DMN31D5UFZ-7B","TopLayer","X2-DFN0606-3","167.0558","32.5033","270","MOSFET (N-Channel)"
"LED1","APG0603SEC-E-TT","TopLayer","APG0603SECETT","167.0812","30.8388","270","LED"
"L8","DFE18SAN1R0MG0L","TopLayer","INDC1608X100N","160.3248","32.2072","90","Inductor"
"L7","L-07C3N3SV6T","TopLayer","INDC1005X60N","189.5348","35.0944","0","Inductor"
"L6","L-07C2N7SV6T","TopLayer","INDC1005X60N","185.2168","35.0944","0","Inductor"
"L5","LQP03HQ3N5B02","TopLayer","LQP03HQ2N7B02","172.2628","31.6024","270","Inductor, 3.5nH, 500mA, ±0.1nH, 170mOhm"
"L4","LQP03HQ3N5B02","TopLayer","LQP03HQ2N7B02","172.2628","33.7312","270","Inductor, 3.5nH, 500mA, ±0.1nH, 170mOhm"
"L3","LQP03HQ2N7B02","TopLayer","LQP03HQ2N7B02","172.2628","34.9504","270","Inductor, 2.7nH, 600mA, ±0.1nH, 120mOhm"
"L2","MLZ1608M4R7WT000","TopLayer","MLZ1608M4R7WT000","176.4030","39.8526","270","Inductor, 120mA, ±20%, 0.65R"
"L1","MBKK1608T2R2M","TopLayer","MBKK1608T1R0M","167.1066","37.6428","270","Inductor"
"J4","S2B-PH-SM4-TB_LF__SN_","TopLayer","S2BPHSM4TBLFSN","154.9146","30.1692","180","Connector"
"J3","2171790001","TopLayer","MOLEX_2171790001","173.2987","14.2494","270","USB Type C - Connector, Top-mount SMT, 16pos | Molex Incorporated 217179-0001"
"J1","10FHH-SM1-GAN-TF_LF__SN_","TopLayer","10FHHSM1GANTFLFSN","174.3194","48.4018","90","Connector"
"IC4","TPS61023DRLR","TopLayer","SOTFL50P160X60-6N","162.3314","31.5722","180","Integrated Circuit"
"IC3","TPD4E1B06DRLR","TopLayer","SOTFL50P160X60-6N","143.5606","36.9236","0","Integrated Circuit"
"IC2","NPM1100-QDAA-R7","TopLayer","QFN50P400X400X90-25N-D","163.7230","36.0868","270","Integrated Circuit"
"IC1","ADS1299IPAG","TopLayer","QFP50P1200X1200X120-64N","161.6226","48.2146","180","Integrated Circuit"
"FB1","BLM03AX121SN1D","TopLayer","BLM03AX121SN1D","177.4698","38.5826","270","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"F2","0402L050SL","TopLayer","0402L010SLKR","156.5656","36.6776","0","Resettable Fuse"
"F1","0402L050SL","TopLayer","0402L010SLKR","139.7508","36.5506","180","Resettable Fuse"
"D1","ESDALC8-1BF4","TopLayer","ESDALC81BF4","140.4658","34.9504","0","Diode ESD (Bi-directional)"
"C47","GRM158R61A226ME15D","TopLayer","GRM15X","160.3248","30.1752","0","Capacitor 22uF 0402"
"C46","GRM158R61A226ME15D","TopLayer","GRM15X","164.5412","30.9626","180","Capacitor 22uF 0402"
"C45","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","159.4612","37.1348","180","Capacitor 1uF 0201"
"C44","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","159.4358","34.3154","0","Capacitor 1uF 0201"
"C43","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","153.5171","54.8520","90","Capacitor 0.1uF 0201"
"C42","CL05A106MQ5NUNC","TopLayer","CAPC1005X70N","154.4569","55.0806","90","Capacitor 10uF 0402 6.3V"
"C41","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7576","52.7836","90","Capacitor 220pF"
"C40","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7576","51.4204","270","Capacitor 220pF"
"C39","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7576","50.1504","90","Capacitor 220pF"
"C38","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7576","48.8296","270","Capacitor 220pF"
"C37","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.7576","47.5088","90","Capacitor 220pF"
"C36","GRM0335C1H221FA01D","TopLayer","GRM033D70J224ME01D","168.9608","46.1118","270","Capacitor 220pF"
"C35","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","154.2034","44.4500","180","Capacitor 0.1uF 0201"
"C34","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","157.9118","41.0718","180","Capacitor 1uF 0201"
"C33","GRM033R6YA104KE14D","TopLayer","CAPC0603X33N","141.7320","34.8996","90","Capacitor 0.1uF 0201"
"C32","GRM035R61C225ME01D","TopLayer","GRM033D70J224ME01D","142.8242","34.8318","90","Capacitor 2.2uF 0201"
"C31","GRM0335C1H221FA01D","TopLayer","0201_GENERIC_CAP","171.2130","35.2806","0","Chip Cap 0201"
"C30","GRM033R71A222KA01D","TopLayer","0201_GENERIC_CAP","173.6344","34.9758","90","Capacitor, X7R, ±10%, 10V 2.2nF"
"C29","GRM033R70J103KA01D","TopLayer","0201_GENERIC_CAP","177.4952","36.4236","90","Capacitor, 10nF"
"C28","GRM035R61C225ME01D","TopLayer","0201_GENERIC_CAP","176.7840","36.4236","90","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C27","CL03A105MO3NRNH","TopLayer","CAPC0603X39N","160.1216","41.1080","180","Capacitor 1uF 0201"
"C26","GRM0335C1H102GE01D","TopLayer","GRM033D70J224ME01D","164.4312","41.0318","180","Capacitor 1nF"
"C25","500R07S1R2BV4T","TopLayer","CAP_500R07S1R2BV4T_JOT","186.0550","31.5812","90","Description"
"C24","GJM0335C1HR30WB01D","TopLayer","0201_GENERIC_CAP","172.5168","30.6578","180","Capacitor, C0G, ±0.1pF, 50V"
"C23","GJM0335C1E2R0WB01","TopLayer","0201_GENERIC_CAP","172.0342","32.6898","0","Capacitor, 2pF, NP0, ±0.05pF, 25V"
"C22","GJM0335C1E1R5WB01","TopLayer","0201_GENERIC_CAP","172.9486","34.9928","270","Capacitor, 1.5pF, NP0, ±0.05pF, 25V, High Q"
"C21","GRM035R61C225ME01D","TopLayer","0201_GENERIC_CAP","177.4698","39.6578","270","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
