Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\EEG_Mainboard\.\Pick Place\Pick Place for backup.csv

========================================================================================================================
File Design Information:

Date:       19/03/26
Time:       18:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP5","TP","BottomLayer","TP","168.9608","42.8752","90",""
"TP31","TP","BottomLayer","TP","163.0934","52.5526","90",""
"TP30","TP","BottomLayer","TP","174.7012","48.4632","90",""
"TP29","TP","BottomLayer","TP","170.7388","50.4190","90",""
"TP26","TP","BottomLayer","TP","171.0436","53.8480","90",""
"TP25","TP","BottomLayer","TP","171.5008","52.0700","90",""
"TP22","TP","BottomLayer","TP","173.5074","49.9872","90",""
"TP20","TP","BottomLayer","TP","172.6184","51.1810","90",""
"TP19","TP","BottomLayer","TP","173.4566","54.2544","90",""
"TP21","TP","BottomLayer","TP","170.2308","52.4002","90",""
"TP27","TP","BottomLayer","TP","165.1254","32.0040","90",""
"TP24","TP","BottomLayer","TP","166.5224","36.0172","90",""
"TP23","TP","BottomLayer","TP","157.3276","46.2534","90",""
"TP14","TP","BottomLayer","TP","177.1142","47.3964","90",""
"TP17","TP","BottomLayer","TP","169.0370","33.2232","90",""
"TP16","TP","BottomLayer","TP","165.2270","28.8290","90",""
"TP15","TP","TopLayer","TP","150.0378","46.0756","90",""
"TP18","TP","BottomLayer","TP","175.9966","48.3108","90",""
"TP12","TP","BottomLayer","TP","159.1310","31.7246","90",""
"TP11","TP","BottomLayer","TP","159.7914","37.9984","90",""
"TP10","TP","BottomLayer","TP","160.6030","44.8818","90",""
"TP9","TP","BottomLayer","TP","159.1310","46.5074","90",""
"TP6","TP","BottomLayer","TP","176.1998","55.9562","90",""
"TP3","TP","TopLayer","TP","151.0538","51.1556","90",""
"TP1","TP","BottomLayer","TP","161.1630","43.7896","90",""
"TP28","TP","BottomLayer","TP","159.8676","29.0830","90",""
"TP13","TP","BottomLayer","TP","163.3728","29.1592","90",""
"TP8","TP","BottomLayer","TP","171.4246","47.6885","90",""
"TP7","TP","TopLayer","TP","174.6250","47.0916","90",""
"TP4","TP","TopLayer","TP","175.8950","47.1170","90",""
"TP2","TP","TopLayer","TP","172.4861","47.2514","90",""
"J3","GT-USB-7055BB","TopLayer","GTUSB7055BB","152.4150","39.8750","90","Connector"
"U3","NCP163AMX500TBG","TopLayer","XDFN4_711AJ_ONS","159.4358","35.6870","270","NCP163AMX500TBG"
"J2","TC2030-MCP","TopLayer","TC2030MCP","169.3164","28.7020","270","Connector"
"U1","nRF54L15-QFAA","TopLayer","NRF54L15_CUSTOM","171.9500","42.7250","270","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4 and 2.4GHz proprietary Wireless MCU"
"Y1","ECS-320-8-37B2-CTN-TR","TopLayer","ECS320837B2CTNTR","175.3250","37.3750","180","Crystal or Oscillator"
"U2","LIS2DW12TR","TopLayer","FP-LGA12-DM00170568-MFG","151.4856","55.6260","270","ACCEL 2-16G I2C/SPI 12LGA"
"S1","MK-11C04-G013","TopLayer","MK11C04G013","163.0666","27.6281","0","Switch"
"R29","ERA1AEB103C","TopLayer","ERA1A_(0201)","163.9062","30.0228","0","Resistor 10k"
"R28","AC0201FR-0776K8L","TopLayer","RESC0603X26N","162.2806","30.0482","180","AC0201FR-0776K8L 76.8k"
"R27","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","45.8010","0","Resistor 10k"
"R26","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","46.5630","0","Resistor 10k"
"R25","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","47.2996","0","Resistor 10k"
"R24","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","48.0616","0","Resistor 10k"
"R23","RC0201JR-07680RL","TopLayer","RESC0603X26N","165.5826","30.0482","180","Resistor"
"R22","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","50.7540","180","Resistor 10k"
"R21","ERA1AEB103C","TopLayer","ERA1A_(0201)","154.2342","51.5160","180","Resistor 10k"
"R20","ERA1AEB103C","TopLayer","ERA1A_(0201)","159.0094","41.4322","270","Resistor 10k"
