condition,distance_m,trial,rssi_mean_dbm,rssi_std_dbm,n_packets
line_of_sight,0.2,1,-64.23529411764706,6.702250970176132,85
line_of_sight,0.2,2,-64.0,3.916899955724923,77
line_of_sight,0.2,3,-63.705128205128204,3.0327604088743465,78
line_of_sight,0.4,1,-64.66265060240964,3.354200527891948,83
line_of_sight,0.4,2,-64.54736842105264,2.404642765756916,95
line_of_sight,0.4,3,-64.38888888888889,2.2117888659443996,90
line_of_sight,0.6,1,-61.972972972972975,2.220532905142633,74
line_of_sight,0.6,2,-62.30555555555556,2.2619877142472107,72
line_of_sight,0.6,3,-61.86746987951807,2.4182793940610394,83
line_of_sight,0.8,1,-62.88636363636363,2.5071475672006125,88
line_of_sight,0.8,2,-62.212765957446805,1.4728535716627857,94
line_of_sight,0.8,3,-63.2,1.7848569370440521,85
line_of_sight,1.0,1,-68.32432432432432,2.7203349315751857,74
line_of_sight,1.0,2,-69.3013698630137,2.106108387965092,73
line_of_sight,1.0,3,-71.59740259740259,3.904315224883401,77
line_of_sight,1.2,1,-70.55263157894737,3.328241725364334,76
line_of_sight,1.2,2,-69.02150537634408,1.7319158443234506,93
line_of_sight,1.2,3,-70.55421686746988,3.7489934000169356,83
line_of_sight,1.4,1,-69.26262626262626,5.189443481203871,99
line_of_sight,1.4,2,-71.01298701298701,6.233385298226392,77
line_of_sight,1.4,3,-70.23684210526316,4.760583776674542,76
line_of_sight,1.6,1,-79.36904761904762,5.124427119094379,84
line_of_sight,1.6,2,-79.9620253164557,4.9444167890628155,79
line_of_sight,1.6,3,-78.46428571428571,4.416416332116873,84
line_of_sight,1.8,1,-76.4186046511628,2.9324357122648705,86
line_of_sight,1.8,2,-74.41095890410959,2.8811437564810727,73
line_of_sight,1.8,3,-75.97142857142858,3.1066615128934734,70
line_of_sight,2.0,1,-80.32911392405063,5.770663026802572,79
line_of_sight,2.0,2,-82.86746987951807,6.005629644164063,83
line_of_sight,2.0,3,-83.04761904761905,5.862479304395885,63
line_of_sight,3.0,1,-74.83823529411765,2.5661998975059612,68
line_of_sight,3.0,2,-73.59493670886076,1.9840323310910712,79
line_of_sight,3.0,3,-72.82432432432432,1.707021022156773,74
line_of_sight,5.0,1,-76.63157894736842,3.9558972189653216,76
line_of_sight,5.0,2,-81.14285714285714,3.2096085900912072,91
line_of_sight,5.0,3,-79.3529411764706,3.911843684045077,85
line_of_sight,7.0,1,-75.52777777777777,5.840538809367214,72
line_of_sight,7.0,2,-73.30882352941177,3.955941508936233,68
line_of_sight,7.0,3,-76.95384615384616,8.515483635029867,65
near_body,0.2,1,-64.5609756097561,2.7220977793579477,82
near_body,0.2,2,-63.80263157894737,2.847313291939639,76
near_body,0.2,3,-75.3076923076923,4.234391329349462,78
near_body,0.2,4,-71.03658536585365,2.4416404218092467,82
near_body,0.2,5,-70.17977528089888,2.124327689116176,89
near_body,0.4,1,-68.04444444444445,3.4832217784047286,90
near_body,0.4,2,-67.14814814814815,2.7798880872757765,81
near_body,0.4,3,-68.34065934065934,3.6093082754325976,91
near_body,0.6,1,-65.10416666666667,3.2459826722846095,96
near_body,0.6,2,-65.71428571428571,3.904188139142063,84
near_body,0.6,3,-65.53488372093024,3.500244275235673,86
near_body,0.8,1,-68.65625,1.811240487970374,96
near_body,0.8,2,-74.77464788732394,2.5701427592289328,71
near_body,0.8,3,-75.21126760563381,2.557428915128556,71
near_body,0.8,4,-78.82291666666667,1.8917816256899866,96
near_body,1.0,1,-73.29761904761905,3.5863857764418126,84
near_body,1.0,2,-75.01010101010101,9.368308441277826,99
near_body,1.0,3,-69.44318181818181,2.8961248565890565,88
near_body,1.2,1,-67.34444444444445,4.097577007005431,90
near_body,1.2,2,-68.88059701492537,3.10679796214152,67
near_body,1.2,3,-75.31914893617021,6.247946356724284,94
near_body,1.4,1,-68.87912087912088,2.384371171866044,91
near_body,1.4,2,-70.75531914893617,2.90970260540273,94
near_body,1.4,3,-68.8375,2.436243996426993,80
near_body,1.6,1,-81.42682926829268,5.499787847322161,82
near_body,1.6,2,-79.97402597402598,5.936005271077835,77
near_body,1.6,3,-77.52054794520548,5.580495769097878,73
near_body,1.8,1,-72.28125,2.6977695465543037,96
near_body,1.8,2,-70.61728395061728,2.4676299420424077,81
near_body,1.8,3,-71.9659090909091,2.4934344298594313,88
near_body,2.0,1,-69.43939393939394,5.810147059912408,66
near_body,2.0,2,-70.6625,5.435336212860757,80
near_body,2.0,3,-72.61971830985915,5.199907134289163,71
near_body,3.0,1,-64.53846153846153,2.632592863124175,104
near_body,3.0,2,-63.666666666666664,2.423839928708163,81
near_body,3.0,3,-63.41489361702128,2.3344524557443593,94
near_body,5.0,1,-79.38461538461539,5.1677831713398055,91
near_body,5.0,2,-80.15384615384616,8.497634389039705,78
near_body,5.0,3,-78.05797101449275,7.580710928113409,69
near_body,7.0,1,-74.3974358974359,1.9362552127971768,78
near_body,7.0,2,-74.47422680412372,2.704520842901883,97
near_body,7.0,3,-74.7012987012987,4.790519516560908,77
