wall_time,trial,event,freq_hz
1776009057.647279,1,standard,1000
1776009058.8531024,2,standard,1000
1776009060.0558612,3,deviant,2000
1776009061.2592099,4,standard,1000
1776009062.4611144,5,standard,1000
1776009063.6495564,6,standard,1000
1776009064.8509614,7,standard,1000
1776009066.049526,8,standard,1000
1776009067.2553723,9,standard,1000
1776009068.4480233,10,standard,1000
1776009069.6538017,11,standard,1000
1776009070.8553028,12,standard,1000
1776009072.0601184,13,standard,1000
1776009073.2511156,14,standard,1000
1776009074.45819,15,deviant,2000
1776009075.6483696,16,standard,1000
1776009076.848548,17,standard,1000
1776009078.054014,18,deviant,2000
1776009079.2526681,19,standard,1000
1776009080.4528809,20,standard,1000
1776009081.6586134,21,standard,1000
1776009082.8599553,22,standard,1000
1776009084.0612502,23,standard,1000
1776009085.26129,24,deviant,2000
1776009086.4535022,25,standard,1000
1776009087.65654,26,standard,1000
1776009088.8487313,27,deviant,2000
1776009090.0485616,28,standard,1000
1776009091.2479439,29,standard,1000
1776009092.4608982,30,standard,1000
1776009093.6532557,31,standard,1000
1776009094.8547568,32,standard,1000
1776009096.0586045,33,standard,1000
1776009097.248079,34,standard,1000
1776009098.4492538,35,standard,1000
1776009099.6528091,36,deviant,2000
1776009100.850224,37,standard,1000
1776009102.0515065,38,standard,1000
1776009103.2553055,39,deviant,2000
1776009104.454635,40,standard,1000
1776009105.6582198,41,standard,1000
1776009106.8619018,42,deviant,2000
1776009108.0603077,43,standard,1000
1776009109.258539,44,standard,1000
1776009110.454348,45,deviant,2000
1776009111.6602502,46,standard,1000
1776009112.8598905,47,standard,1000
1776009114.0616477,48,standard,1000
1776009115.2485607,49,standard,1000
1776009116.4490519,50,standard,1000
1776009117.649589,51,deviant,2000
1776009118.8537924,52,standard,1000
1776009120.0557654,53,standard,1000
1776009121.2570002,54,standard,1000
1776009122.455956,55,standard,1000
1776009123.653909,56,standard,1000
1776009124.85707,57,standard,1000
1776009126.0606933,58,standard,1000
1776009127.2544675,59,standard,1000
1776009128.461228,60,standard,1000
1776009129.6506171,61,standard,1000
1776009130.8532538,62,standard,1000
1776009132.0526512,63,deviant,2000
1776009133.2605999,64,standard,1000
1776009134.4601607,65,standard,1000
1776009135.6494098,66,deviant,2000
1776009136.8524542,67,standard,1000
1776009138.0540311,68,standard,1000
1776009139.2557287,69,standard,1000
1776009140.4573648,70,standard,1000
1776009141.6583524,71,standard,1000
1776009142.85744,72,deviant,2000
1776009144.058913,73,standard,1000
1776009145.2501001,74,standard,1000
1776009146.4542754,75,deviant,2000
1776009147.6548069,76,standard,1000
1776009148.8598588,77,standard,1000
1776009150.0544114,78,standard,1000
1776009151.2603893,79,standard,1000
1776009152.4599078,80,standard,1000
1776009153.660772,81,deviant,2000
1776009154.8472512,82,standard,1000
1776009156.047301,83,standard,1000
1776009157.2523804,84,deviant,2000
1776009158.4595635,85,standard,1000
1776009159.6618202,86,standard,1000
1776009160.84755,87,deviant,2000
1776009162.060574,88,standard,1000
1776009163.2618258,89,standard,1000
1776009164.4536347,90,standard,1000
1776009165.6562247,91,standard,1000
1776009166.8609908,92,standard,1000
1776009168.048283,93,deviant,2000
1776009169.2484539,94,standard,1000
1776009170.4567878,95,standard,1000
1776009171.6578963,96,standard,1000
1776009172.8602529,97,standard,1000
1776009174.0625105,98,standard,1000
1776009175.248626,99,deviant,2000
1776009176.4517736,100,standard,1000
1776009177.658872,101,standard,1000
1776009178.850636,102,deviant,2000
1776009180.0504098,103,standard,1000
1776009181.2542336,104,standard,1000
1776009182.4556503,105,standard,1000
1776009183.6549647,106,standard,1000
1776009184.8573802,107,standard,1000
1776009186.0616086,108,deviant,2000
1776009187.2480671,109,standard,1000
1776009188.4507358,110,standard,1000
1776009189.6532102,111,deviant,2000
1776009190.8561265,112,standard,1000
1776009192.0602932,113,standard,1000
1776009193.2574525,114,deviant,2000
1776009194.4589195,115,standard,1000
1776009195.6484973,116,standard,1000
1776009196.8475976,117,standard,1000
1776009198.0526693,118,standard,1000
1776009199.2540495,119,standard,1000
1776009200.4542716,120,deviant,2000
1776009201.6512656,121,standard,1000
1776009202.8560767,122,standard,1000
1776009204.0564723,123,standard,1000
1776009205.2547524,124,standard,1000
1776009206.456922,125,standard,1000
1776009207.659478,126,deviant,2000
1776009208.8584826,127,standard,1000
1776009210.0569339,128,standard,1000
1776009211.2569647,129,standard,1000
1776009212.4583607,130,standard,1000
1776009213.661444,131,standard,1000
1776009214.8553722,132,deviant,2000
1776009216.047077,133,standard,1000
1776009217.2553651,134,standard,1000
1776009218.454959,135,deviant,2000
1776009219.6580336,136,standard,1000
1776009220.8551579,137,standard,1000
1776009222.0578718,138,deviant,2000
1776009223.259713,139,standard,1000
1776009224.4592447,140,standard,1000
1776009225.6486104,141,standard,1000
1776009226.8506255,142,standard,1000
1776009228.0517616,143,standard,1000
1776009229.258221,144,deviant,2000
1776009230.4600248,145,standard,1000
1776009231.659897,146,standard,1000
1776009232.8606994,147,deviant,2000
1776009234.0613534,148,standard,1000
1776009235.249434,149,standard,1000
1776009236.4534771,150,standard,1000
1776009236.611604,151,END,
