wall_time,run,freq_hz,event,note
1775977181.8886642,1,12,REST_START,
1775977184.8903098,1,12,FLICKER_START,
1775977186.9057214,1,12,ANALYSIS_START,warmup=2.0s
1775977196.8917534,1,12,FLICKER_END,frames=725 actual_hz=30.20
1775977196.8917534,1,6,REST_START,
1775977199.9060047,1,6,FLICKER_START,
1775977201.9173558,1,6,ANALYSIS_START,warmup=2.0s
1775977211.90754,1,6,FLICKER_END,frames=723 actual_hz=30.12
1775977211.90754,1,10,REST_START,
1775977214.9171984,1,10,FLICKER_START,
1775977216.9266443,1,10,ANALYSIS_START,warmup=2.0s
1775977226.9318178,1,10,FLICKER_END,frames=723 actual_hz=30.09
1775977226.9318178,1,15,REST_START,
1775977229.9410136,1,15,FLICKER_START,
1775977231.95519,1,15,ANALYSIS_START,warmup=2.0s
1775977241.9518456,1,15,FLICKER_END,frames=724 actual_hz=30.14
1775977241.9518456,2,10,REST_START,
1775977244.9631245,2,10,FLICKER_START,
1775977246.9734046,2,10,ANALYSIS_START,warmup=2.0s
1775977256.9737604,2,10,FLICKER_END,frames=723 actual_hz=30.10
1775977256.9737604,2,6,REST_START,
1775977259.9855304,2,6,FLICKER_START,
1775977261.996547,2,6,ANALYSIS_START,warmup=2.0s
1775977271.993309,2,6,FLICKER_END,frames=723 actual_hz=30.11
1775977271.993309,2,12,REST_START,
1775977275.0040636,2,12,FLICKER_START,
1775977277.0163682,2,12,ANALYSIS_START,warmup=2.0s
1775977287.0170503,2,12,FLICKER_END,frames=724 actual_hz=30.13
1775977287.0170503,2,15,REST_START,
1775977290.0216637,2,15,FLICKER_START,
1775977292.0309253,2,15,ANALYSIS_START,warmup=2.0s
1775977302.0353255,2,15,FLICKER_END,frames=722 actual_hz=30.05
1775977302.0353255,3,12,REST_START,
1775977305.0443938,3,12,FLICKER_START,
1775977307.0503514,3,12,ANALYSIS_START,warmup=2.0s
1775977317.045793,3,12,FLICKER_END,frames=721 actual_hz=30.04
1775977317.045793,3,10,REST_START,
1775977320.0618315,3,10,FLICKER_START,
1775977322.0619297,3,10,ANALYSIS_START,warmup=2.0s
1775977332.076453,3,10,FLICKER_END,frames=724 actual_hz=30.13
1775977332.076453,3,6,REST_START,
1775977335.0772583,3,6,FLICKER_START,
1775977337.0891333,3,6,ANALYSIS_START,warmup=2.0s
1775977347.0820644,3,6,FLICKER_END,frames=722 actual_hz=30.07
1775977347.0820644,3,15,REST_START,
1775977350.0893936,3,15,FLICKER_START,
1775977352.1034305,3,15,ANALYSIS_START,warmup=2.0s
1775977362.0971496,3,15,FLICKER_END,frames=721 actual_hz=30.02
1775977362.103345,3,,END,
