time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
0.0025,0.0,0,1.0,0,285.0,waiting,0
0.0176,0.0,0,1.0,0,294.46,waiting,0
0.0337,0.0,0,1.0,0,294.05,waiting,0
0.0498,0.0,0,1.0,0,293.62,waiting,0
0.0667,0.0,0,1.0,0,293.16,waiting,0
0.0822,0.0,0,1.0,0,292.65,waiting,0
0.0985,0.0,0,1.0,0,292.18,waiting,0
0.115,0.0,0,1.0,0,291.66,waiting,0
0.1312,0.0,0,1.0,0,291.08,waiting,0
0.1473,0.0,0,1.0,0,290.52,waiting,0
0.1629,0.0,0,1.0,0,289.95,waiting,0
0.1793,0.0,0,1.0,0,289.36,waiting,0
0.1949,0.0,0,1.0,0,288.75,waiting,0
0.2112,0.0,0,1.0,0,288.14,waiting,0
0.2279,0.0,0,1.0,0,287.52,waiting,0
0.2445,0.0,0,1.0,0,286.85,waiting,0
0.2605,0.0,0,1.0,0,286.22,waiting,0
0.2765,0.0,0,1.0,0,285.58,waiting,0
0.292,0.0,0,1.0,0,284.94,waiting,0
0.3081,0.0,0,1.0,0,284.3,waiting,0
0.3249,0.0,0,1.0,0,283.66,waiting,0
0.3414,0.0,0,1.0,0,282.99,waiting,0
0.3636,0.0,0,1.0,0,282.36,waiting,0
0.3806,0.0,0,1.0,0,281.47,waiting,0
0.3987,0.0,0,1.0,0,280.86,waiting,0
0.4239,0.0,0,1.0,0,280.16,waiting,0
0.4405,0.0,0,1.0,0,279.23,waiting,0
0.4577,0.0,0,1.0,0,278.67,waiting,0
0.4743,0.0,0,1.0,0,278.11,waiting,0
0.49,0.0,0,1.0,0,277.59,waiting,0
0.5068,0.0,0,1.0,0,277.1,waiting,0
0.5239,0.0,0,1.0,0,276.6,waiting,0
0.5407,0.0,0,1.0,0,276.13,waiting,0
0.5568,0.0,0,1.0,0,275.69,waiting,0
0.5738,0.0,0,1.0,0,275.3,waiting,0
0.5904,0.0,0,1.0,0,274.91,waiting,0
0.607,0.0,0,1.0,0,274.58,waiting,0
0.6236,0.0,0,1.0,0,274.26,waiting,0
0.6392,0.0,0,1.0,0,273.99,waiting,0
0.6557,0.0,0,1.0,0,273.75,waiting,0
0.6723,0.0,0,1.0,0,273.53,waiting,0
0.6879,0.0,0,1.0,0,273.36,waiting,0
0.705,0.0,0,1.0,0,273.22,waiting,0
0.7215,0.0,0,1.0,0,273.11,waiting,0
0.7376,0.0,0,1.0,0,273.04,waiting,0
0.7535,0.0,0,0.22329,0,273.0,waiting,0
0.7697,0.0,0,0.26972,0,273.0,waiting,0
0.7873,0.0,0,0.26972,0,273.04,waiting,0
0.8033,0.0,0,0.25926,0,273.11,waiting,0
0.8191,0.0,0,0.25926,0,273.22,waiting,0
0.8356,0.0,0,0.32887,0,273.36,waiting,0
0.8518,0.0,0,0.30011,0,273.53,waiting,0
0.8689,0.0,0,0.30011,0,273.75,waiting,0
0.8859,0.0,0,0.3009,0,274.0,waiting,0
0.903,0.0,0,0.32307,0,274.29,waiting,0
0.9196,0.0,0,0.32307,0,274.61,waiting,0
0.9357,0.0,0,0.32109,0,274.95,waiting,0
0.9514,0.0,0,0.32109,0,275.34,waiting,0
0.9675,0.0,0,0.32109,0,275.7,waiting,0
0.9836,0.0,0,0.2968,0,276.12,waiting,0
0.9997,0.0,0,0.2968,0,276.56,waiting,0
1.016,0.0,0,0.32063,0,277.06,waiting,0
1.0331,0.0,0,0.32063,0,277.55,waiting,0
1.0495,0.0,0,0.30896,0,278.1,waiting,0
1.066,0.0,0,0.30896,0,278.66,waiting,0
1.082,0.0,0,0.3143,0,279.21,waiting,0
1.0979,0.0,0,0.3143,0,279.78,waiting,0
1.1148,0.0,0,0.30303,0,280.37,waiting,0
1.132,0.0,0,0.30303,0,281.0,waiting,0
1.1487,0.0,0,0.34463,0,281.65,waiting,0
1.1642,0.0,0,0.34463,0,282.31,waiting,0
1.1803,0.0,0,0.36385,0,282.89,waiting,0
1.1971,0.0,0,0.36385,0,283.53,waiting,0
1.2133,0.0,0,0.40452,0,284.2,waiting,0
1.2296,0.0,0,0.40452,0,284.84,waiting,0
1.2472,0.0,0,0.37893,0,285.52,waiting,0
1.2631,0.0,0,0.37893,0,286.2,waiting,0
1.2793,0.0,0,0.38179,0,286.84,waiting,0
1.2955,0.0,0,0.38179,0,287.47,waiting,0
1.3118,0.0,0,0.33134,0,288.09,waiting,0
1.3281,0.0,0,0.33134,0,288.74,waiting,0
1.3446,0.0,0,0.33134,0,289.34,waiting,0
1.3602,0.0,0,0.37337,0,289.97,waiting,0
1.3764,0.0,0,0.37337,0,290.51,waiting,0
1.3931,0.0,0,0.3388,0,291.07,waiting,0
1.4091,0.0,0,0.3388,0,291.65,waiting,0
1.4253,0.0,0,0.39528,0,292.17,waiting,0
1.4413,0.0,0,0.39528,0,292.67,waiting,0
1.4574,0.0,0,0.31181,0,293.15,waiting,0
1.4739,0.0,0,0.31181,0,293.61,waiting,0
1.4906,0.0,0,0.31127,0,294.07,waiting,0
1.5068,0.0,0,0.30262,0,294.48,waiting,0
1.5236,0.0,0,0.30262,0,294.88,waiting,0
1.5395,0.0,0,0.30262,0,295.25,waiting,0
1.556,0.0,0,0.30262,0,295.55,waiting,0
1.5724,0.0,0,,0,295.85,waiting,0
1.5886,0.0,0,,0,296.11,waiting,0
1.6061,0.0,0,,0,296.35,waiting,0
1.6222,0.0,0,0.31137,0,296.55,waiting,0
1.6383,0.0,0,0.31137,0,296.71,waiting,0
1.6542,0.0,0,0.19468,0,296.83,waiting,0
1.6701,0.0,0,0.19468,0,296.92,waiting,0
1.6871,0.0,0,0.19468,0,296.98,waiting,0
1.7032,0.0,0,0.19053,0,297.0,waiting,0
1.719,0.0,0,0.19053,0,296.99,waiting,0
1.7355,0.0,0,0.19053,0,296.94,waiting,0
1.7513,0.0,0,0.19053,0,296.85,waiting,0
1.7678,0.0,0,0.1998,0,296.74,waiting,0
1.7833,0.0,0,0.1998,0,296.58,waiting,0
1.8014,0.0,0,0.1998,1,296.41,waiting,0
1.8175,0.0,0,0.2464,0,296.16,waiting,0
1.8337,0.0,0,0.2464,0,295.91,waiting,0
1.8499,0.0,0,0.22986,0,295.61,waiting,0
1.8673,0.0,0,0.22986,0,295.3,waiting,0
1.8834,0.0,0,0.3039,0,294.93,waiting,0
1.899,0.0,0,0.3039,0,294.56,waiting,0
1.9166,0.0,0,0.3039,0,294.16,waiting,0
1.9334,0.0,0,0.3385,0,293.67,waiting,0
1.9518,0.0,0,0.3385,0,293.22,waiting,0
1.9683,0.0,0,0.31156,0,292.65,waiting,0
1.9844,0.0,0,0.31156,0,292.15,waiting,0
2.001,0.0,0,0.31421,0,291.62,waiting,0
2.0179,0.0,0,0.31421,0,291.05,waiting,0
2.0342,0.0,0,0.31421,0,290.45,waiting,0
2.0502,0.0,0,0.33594,0,289.87,waiting,0
2.0661,0.0,0,0.33594,0,289.28,waiting,0
2.0821,0.0,0,0.33594,0,288.68,waiting,0
2.0982,0.0,0,0.35604,0,288.06,waiting,0
2.1146,0.0,0,0.35604,0,287.44,waiting,0
2.1303,0.0,0,0.35087,0,286.81,waiting,0
2.1463,0.0,0,0.35087,0,286.17,waiting,0
2.1625,0.0,0,0.35087,0,285.54,waiting,0
2.1781,0.0,0,0.32647,0,284.9,waiting,0
2.1944,0.0,0,0.32647,0,284.26,waiting,0
2.2109,0.0,0,0.32164,0,283.62,waiting,0
2.227,0.0,0,0.32164,0,282.95,waiting,0
2.2437,0.0,0,0.32164,0,282.32,waiting,0
2.2598,0.0,0,0.308,0,281.66,waiting,0
2.2767,0.0,0,0.308,0,281.05,waiting,0
2.2943,0.0,0,0.308,0,280.42,waiting,0
2.3119,0.0,0,0.31125,0,279.76,waiting,0
2.329,0.0,0,0.31125,0,279.16,waiting,0
2.3462,0.0,0,0.28783,0,278.57,waiting,0
2.363,0.0,0,0.28783,0,278.01,waiting,0
2.38,0.0,0,0.31081,0,277.47,waiting,0
2.3964,0.0,0,0.31081,0,276.95,waiting,0
2.4119,2492.3389,1,0.28422,0,276.49,waiting,0
2.4283,2492.3389,0,0.28422,0,276.05,playing,0
2.4444,2492.3389,0,0.28422,0,270.09,playing,0
2.4606,1120.749,0,0.31854,0,264.41,playing,0
2.4762,1120.749,0,0.31854,0,259.02,playing,0
2.493,1120.749,0,0.28812,0,253.9,playing,0
2.5095,598.2912,0,0.28812,0,248.79,playing,0
2.5252,598.2912,0,0.28812,0,244.26,playing,0
2.5418,182.3489,0,0.28872,0,240.0,playing,0
2.558,182.3489,0,0.28872,0,235.81,playing,0
2.575,182.3489,0,0.24684,0,232.14,playing,0
2.5912,-134.1256,0,0.24684,0,228.55,playing,0
2.6081,-134.1256,0,0.30623,0,225.46,playing,0
2.6245,-134.1256,0,0.30623,0,222.5,playing,0
2.6405,-362.2537,0,0.28719,0,219.99,playing,0
2.6574,-362.2537,0,0.28719,0,217.76,playing,0
2.674,-362.2537,0,0.28719,0,215.71,playing,0
2.6907,-653.4651,0,0.31823,0,213.98,playing,0
2.7074,-653.4651,0,0.31823,0,212.57,playing,0
2.724,-665.9355,0,0.32372,0,211.52,playing,0
2.7408,-665.9355,0,0.32372,0,210.73,playing,0
2.7578,-665.9355,0,0.30906,0,210.25,playing,0
2.7742,-648.0569,0,0.30906,0,210.09,playing,0
2.7901,-648.0569,0,0.30906,0,210.22,playing,0
2.806,-648.0569,0,0.28477,0,210.63,playing,0
2.8221,-596.9372,0,0.28477,0,211.33,playing,0
2.8387,-596.9372,0,0.29629,0,212.3,playing,0
2.8559,-596.9372,0,0.29629,0,213.66,playing,0
2.8729,-516.0404,0,0.28161,0,215.33,playing,0
2.8897,-516.0404,0,0.28161,0,217.32,playing,0
2.906,-383.8799,1,0.28161,0,219.48,playing,0
2.9224,-383.8799,0,0.20418,0,213.17,playing,0
2.9385,-329.0638,0,0.20418,0,207.51,playing,0
2.9546,-329.0638,0,0.15995,0,202.13,playing,0
2.9709,-275.9505,0,0.15995,0,197.03,playing,0
2.9879,-275.9505,0,0.15995,0,191.94,playing,0
3.0045,-275.9505,0,0.2628,1,187.16,playing,0
3.0208,-225.9784,0,0.2628,0,182.94,playing,0
3.037,-180.1775,0,0.21585,0,178.78,playing,0
3.0531,-180.1775,0,0.21585,0,175.15,playing,0
3.0697,-139.7583,0,0.21585,0,171.79,playing,0
3.0868,-139.7583,0,0.28775,0,168.55,playing,0
3.104,-103.7451,0,0.28775,0,165.62,playing,0
3.1208,-103.7451,0,0.2959,0,163.01,playing,0
3.1376,-73.0802,0,0.2959,0,160.72,playing,0
3.1532,-73.0802,0,0.2735,0,158.84,playing,0
3.1698,-47.3745,0,0.2735,0,157.25,playing,0
3.1867,-26.5491,0,0.2735,0,155.87,playing,0
