time_s,eeg_amplitude_uv,eeg_blink,eeg_railed,cv_ear,cv_blink,bird_y,game_state,score
0.0018,0.0,0,0,1.0,0,285.0,waiting,0
0.0163,0.0,0,0,1.0,0,293.13,waiting,0
0.0376,0.0,0,0,1.0,0,292.71,waiting,0
0.0551,0.0,0,0,1.0,0,292.02,waiting,0
0.0719,0.0,0,0,1.0,0,291.46,waiting,0
0.095,0.0,0,0,1.0,0,290.87,waiting,0
0.1112,0.0,0,0,1.0,0,290.05,waiting,0
0.1277,0.0,0,0,1.0,0,289.47,waiting,0
0.1432,0.0,0,0,1.0,0,288.87,waiting,0
0.1599,0.0,0,0,1.0,0,288.26,waiting,0
0.1768,0.0,0,0,1.0,0,287.6,waiting,0
0.1933,0.0,0,0,1.0,0,286.93,waiting,0
0.2102,0.0,0,0,1.0,0,286.29,waiting,0
0.2264,0.0,0,0,1.0,0,285.62,waiting,0
0.2431,0.0,0,0,1.0,0,284.98,waiting,0
0.2597,0.0,0,0,1.0,0,284.3,waiting,0
0.2757,0.0,0,0,1.0,0,283.66,waiting,0
0.2912,0.0,0,0,1.0,0,283.03,waiting,0
0.3078,0.0,0,0,1.0,0,282.4,waiting,0
0.3233,0.0,0,0,1.0,0,281.74,waiting,0
0.3399,0.0,0,0,1.0,0,281.17,waiting,0
0.3568,0.0,0,0,1.0,0,280.53,waiting,0
0.3723,0.0,0,0,1.0,0,279.9,waiting,0
0.3881,0.0,0,0,1.0,0,279.37,waiting,0
0.4049,0.0,0,0,1.0,0,278.81,waiting,0
0.4219,0.0,0,0,1.0,0,278.24,waiting,0
0.4386,0.0,0,0,1.0,0,277.69,waiting,0
0.4546,0.0,0,0,1.0,0,277.19,waiting,0
0.4706,0.0,0,0,1.0,0,276.72,waiting,0
0.4867,0.0,0,0,1.0,0,276.27,waiting,0
0.5025,0.0,0,0,1.0,0,275.84,waiting,0
0.5182,0.0,0,0,1.0,0,275.44,waiting,0
0.5348,0.0,0,0,1.0,0,275.07,waiting,0
0.5503,0.0,0,0,1.0,0,274.7,waiting,0
0.5668,0.0,0,0,1.0,0,274.41,waiting,0
0.5823,0.0,0,0,1.0,0,274.1,waiting,0
0.5989,0.0,0,0,1.0,0,273.87,waiting,0
0.616,0.0,0,0,1.0,0,273.63,waiting,0
0.6325,0.0,0,0,1.0,0,273.43,waiting,0
0.6481,0.0,0,0,1.0,0,273.28,waiting,0
0.6641,0.0,0,0,1.0,0,273.16,waiting,0
0.6809,0.0,0,0,1.0,0,273.07,waiting,0
0.6975,0.0,0,0,1.0,0,273.02,waiting,0
0.7136,0.0,0,0,1.0,0,273.0,waiting,0
0.7296,0.0,0,0,0.25878,0,273.02,waiting,0
0.7462,0.0,0,0,0.25878,0,273.07,waiting,0
0.7622,0.0,0,0,0.19092,0,273.16,waiting,0
0.7783,0.0,0,0,0.19092,0,273.28,waiting,0
0.7947,0.0,0,0,0.17016,0,273.44,waiting,0
0.8106,0.0,0,0,0.17236,0,273.63,waiting,0
0.8267,0.0,0,0,0.17236,0,273.85,waiting,0
0.8423,0.0,0,0,0.16214,0,274.1,waiting,0
0.8583,0.0,0,0,0.19307,1,274.38,waiting,0
0.8744,0.0,0,0,0.19307,0,274.69,waiting,0
0.89,0.0,0,0,0.22954,0,275.04,waiting,0
0.9067,0.0,0,0,0.22954,0,275.41,waiting,0
0.9228,0.0,0,0,0.24308,0,275.8,waiting,0
0.9386,0.0,0,0,0.24308,0,276.26,waiting,0
0.9546,0.0,0,0,0.24308,0,276.68,waiting,0
0.9707,0.0,0,0,0.25513,0,277.15,waiting,0
0.9871,0.0,0,0,0.25513,0,277.68,waiting,0
1.0041,0.0,0,0,0.29122,0,278.19,waiting,0
1.0206,0.0,0,0,0.29122,0,278.76,waiting,0
1.0367,0.0,0,0,0.26713,0,279.32,waiting,0
1.0528,0.0,0,0,0.26713,0,279.93,waiting,0
1.0684,0.0,0,0,0.29588,0,280.52,waiting,0
1.0842,0.0,0,0,0.29588,0,281.08,waiting,0
1.1004,0.0,0,0,0.29573,0,281.69,waiting,0
1.1166,0.0,0,0,0.29573,0,282.31,waiting,0
1.1332,0.0,0,0,0.25944,0,282.93,waiting,0
1.1495,0.0,0,0,0.25944,0,283.61,waiting,0
1.166,0.0,0,0,0.28747,0,284.24,waiting,0
1.183,0.0,0,0,0.28747,0,284.92,waiting,0
1.1997,0.0,0,0,0.33124,0,285.6,waiting,0
1.2175,0.0,0,0,0.33124,0,286.28,waiting,0
1.234,0.0,0,0,0.31475,0,286.99,waiting,0
1.2501,0.0,0,0,0.26288,0,287.62,waiting,0
1.266,0.0,0,0,0.26288,0,288.24,waiting,0
1.2831,0.0,0,0,0.28256,0,288.85,waiting,0
1.2992,0.0,0,0,0.28256,0,289.49,waiting,0
1.3154,0.0,0,0,0.28256,0,290.08,waiting,0
1.3315,0.0,0,0,0.28125,0,290.65,waiting,0
1.3472,0.0,0,0,0.28125,0,291.21,waiting,0
1.3633,0.0,0,0,0.28802,0,291.75,waiting,0
1.3798,0.0,0,0,0.28802,0,292.27,waiting,0
1.397,0.0,0,0,0.29219,0,292.79,waiting,0
1.414,0.0,0,0,0.29219,0,293.3,waiting,0
1.4311,0.0,0,0,0.27797,0,293.78,waiting,0
1.447,0.0,0,0,0.27797,0,294.23,waiting,0
1.4631,0.0,0,0,0.30046,0,294.62,waiting,0
1.4791,0.0,0,0,0.30046,0,294.99,waiting,0
1.4954,0.0,0,0,0.31006,0,295.33,waiting,0
1.5114,0.0,0,0,0.31006,0,295.64,waiting,0
1.5275,0.0,0,0,0.31006,0,295.92,waiting,0
1.5437,0.0,0,0,0.29158,0,296.17,waiting,0
1.5598,0.0,0,0,0.29158,0,296.4,waiting,0
1.577,0.0,0,0,0.3008,0,296.58,waiting,0
1.5935,0.0,0,0,0.3008,0,296.74,waiting,0
1.61,0.0,0,0,0.2872,0,296.86,waiting,0
1.6267,0.0,0,0,0.2872,0,296.94,waiting,0
1.6423,0.0,0,0,0.28333,0,296.99,waiting,0
1.6585,0.0,0,0,0.28333,0,297.0,waiting,0
1.675,0.0,0,0,0.28333,0,296.98,waiting,0
1.692,0.0,0,0,0.26237,0,296.91,waiting,0
1.7091,0.0,0,0,0.26237,0,296.81,waiting,0
1.7257,0.0,0,0,0.26237,0,296.68,waiting,0
1.7418,0.0,0,0,0.27952,0,296.51,waiting,0
1.7589,0.0,0,0,0.27952,0,296.3,waiting,0
1.776,0.0,0,0,0.27842,0,296.06,waiting,0
1.7935,0.0,0,0,0.27842,0,295.77,waiting,0
1.8095,0.0,0,0,0.30437,0,295.46,waiting,0
1.8254,0.0,0,0,0.30536,0,295.13,waiting,0
1.8412,0.0,0,0,0.30536,0,294.77,waiting,0
1.8581,0.0,0,0,0.29213,0,294.38,waiting,0
1.8751,0.0,0,0,0.29213,0,293.95,waiting,0
1.8916,0.0,0,0,0.32012,0,293.48,waiting,0
1.9081,0.0,0,0,0.32012,0,293.01,waiting,0
1.925,0.0,0,0,0.30017,0,292.5,waiting,0
1.9418,0.0,0,0,0.30017,0,291.95,waiting,0
1.9586,0.0,0,0,0.30017,0,291.39,waiting,0
1.9751,0.0,0,0,0.30637,0,290.84,waiting,0
1.9913,0.0,0,0,0.30637,0,290.23,waiting,0
2.0074,0.0,0,0,0.29158,0,289.65,waiting,0
2.0237,0.0,0,0,0.29158,0,289.05,waiting,0
2.0397,0.0,0,0,0.26257,0,288.41,waiting,0
2.0557,0.0,0,0,0.26257,0,287.83,waiting,0
2.0717,0.0,0,0,0.26257,0,287.2,waiting,0
2.0874,0.0,0,0,0.30912,0,286.53,waiting,0
2.1034,0.0,0,0,0.30912,0,285.93,waiting,0
2.1197,0.0,0,0,0.30912,0,285.3,waiting,0
2.1363,0.0,0,0,0.26613,0,284.66,waiting,0
2.1524,0.0,0,0,0.26613,0,283.98,waiting,0
