time_s,eeg_amplitude_uv,eeg_blink,eeg_railed,cv_ear,cv_blink,bird_y,game_state,score
0.0026,0.0,0,0,1.0,0,285.0,waiting,0
0.0171,0.0,0,0,1.0,0,295.06,waiting,0
0.0328,0.0,0,0,1.0,0,294.72,waiting,0
0.0484,0.0,0,0,1.0,0,294.36,waiting,0
0.0651,0.0,0,0,1.0,0,293.95,waiting,0
0.0821,0.0,0,0,1.0,0,293.48,waiting,0
0.0984,0.0,0,0,1.0,0,292.99,waiting,0
0.1152,0.0,0,0,1.0,0,292.5,waiting,0
0.1334,0.0,0,0,1.0,0,291.95,waiting,0
0.1631,0.0,0,0,1.0,0,291.36,waiting,0
0.1915,0.0,0,0,1.0,0,290.31,waiting,0
0.2079,0.0,0,0,1.0,0,289.28,waiting,0
0.224,0.0,0,0,1.0,0,288.68,waiting,0
0.2396,0.0,0,0,1.0,0,288.06,waiting,0
0.2564,0.0,0,0,1.0,0,287.44,waiting,0
0.2731,0.0,0,0,1.0,0,286.77,waiting,0
0.2889,0.0,0,0,1.0,0,286.14,waiting,0
0.3057,0.0,0,0,1.0,0,285.5,waiting,0
0.3224,0.0,0,0,1.0,0,284.82,waiting,0
0.3391,0.0,0,0,1.0,0,284.14,waiting,0
0.3547,0.0,0,0,1.0,0,283.46,waiting,0
0.3708,0.0,0,0,1.0,0,282.87,waiting,0
0.387,0.0,0,0,1.0,0,282.24,waiting,0
0.4024,0.0,0,0,1.0,0,281.62,waiting,0
0.4191,0.0,0,0,1.0,0,281.01,waiting,0
0.4348,0.0,0,0,1.0,0,280.38,waiting,0
0.4517,0.0,0,0,1.0,0,279.83,waiting,0
0.4682,0.0,0,0,1.0,0,279.23,waiting,0
0.4846,0.0,0,0,1.0,0,278.64,waiting,0
0.5013,0.0,0,0,1.0,0,278.11,waiting,0
0.518,0.0,0,0,1.0,0,277.56,waiting,0
0.5343,0.0,0,0,1.0,0,277.07,waiting,0
0.5509,0.0,0,0,1.0,0,276.57,waiting,0
0.5675,0.0,0,0,1.0,0,276.13,waiting,0
0.5841,0.0,0,0,1.0,0,275.69,waiting,0
0.5995,0.0,0,0,1.0,0,275.3,waiting,0
0.6158,0.0,0,0,1.0,0,274.93,waiting,0
0.6321,0.0,0,0,1.0,0,274.6,waiting,0
0.6478,0.0,0,0,1.0,0,274.28,waiting,0
0.6643,0.0,0,0,1.0,0,274.02,waiting,0
0.6808,0.0,0,0,1.0,0,273.76,waiting,0
0.6974,0.0,0,0,1.0,0,273.56,waiting,0
0.7144,0.0,0,0,0.24022,0,273.37,waiting,0
0.7305,0.0,0,0,0.24022,0,273.22,waiting,0
0.7471,0.0,0,0,0.22238,0,273.12,waiting,0
0.7631,0.0,0,0,0.22238,0,273.04,waiting,0
0.7787,0.0,0,0,0.24724,0,273.01,waiting,0
0.7952,0.0,0,0,0.23526,0,273.0,waiting,0
0.8121,0.0,0,0,0.23526,0,273.04,waiting,0
0.8277,0.0,0,0,0.2171,0,273.11,waiting,0
0.8436,0.0,0,0,0.18897,0,273.2,waiting,0
0.8595,0.0,0,0,0.18897,0,273.34,waiting,0
0.8765,0.0,0,0,0.18487,0,273.5,waiting,0
0.8933,0.0,0,0,0.18487,0,273.72,waiting,0
0.9102,0.0,0,0,0.1747,0,273.97,waiting,0
0.9272,0.0,0,0,0.1747,0,274.25,waiting,0
0.9443,0.0,0,0,0.1747,0,274.57,waiting,0
0.9609,0.0,0,0,0.17768,0,274.93,waiting,0
0.977,0.0,0,0,0.17768,0,275.29,waiting,0
0.9932,0.0,0,0,0.30316,1,275.7,waiting,0
1.0097,0.0,0,0,0.30316,0,276.12,waiting,0
1.0261,0.0,0,0,0.23229,0,276.56,waiting,0
1.0422,0.0,0,0,0.23229,0,277.06,waiting,0
