Timestamp(ms),Current(uA),D0-D7
579840,1612.801,00000000
579850,1697.852,00000000
579860,1720.943,00000000
579870,2407.291,00000000
579880,2021.975,00000000
579890,1850.105,00000000
579900,1811.893,00000000
579910,1820.326,00000000
579920,1839.373,00000000
579930,1847.150,00000000
579940,1814.221,00000000
579950,1810.362,00000000
579960,1817.071,00000000
579970,1869.784,00000000
579980,2358.718,00000000
579990,2064.559,00000000
580000,2124.797,00000000
580010,2142.438,00000000
580020,2143.821,00000000
580030,2126.371,00000000
580040,2163.102,00000000
580050,2196.795,00000000
580060,2202.841,00000000
580070,2167.853,00000000
580080,2797.410,00000000
580090,2451.215,00000000
580100,2288.381,00000000
580110,2290.667,00000000
580120,2309.221,00000000
580130,2253.778,00000000
580140,2272.052,00000000
580150,2466.896,00000000
580160,2555.138,00000000
580170,2664.100,00000000
580180,3334.576,00000000
580190,2942.721,00000000
580200,2723.790,00000000
580210,2675.948,00000000
580220,2675.137,00000000
580230,2726.886,00000000
580240,2632.025,00000000
580250,2592.335,00000000
580260,2588.191,00000000
580270,2600.079,00000000
580280,3195.431,00000000
580290,2771.961,00000000
580300,2618.265,00000000
580310,2651.960,00000000
580320,2695.531,00000000
580330,2632.666,00000000
580340,2620.433,00000000
580350,2514.756,00000000
580360,2488.223,00000000
580370,2579.006,00000000
580380,2488.814,00000000
580390,2933.482,00000000
580400,2657.236,00000000
580410,2584.242,00000000
580420,2519.794,00000000
580430,2407.040,00000000
580440,2378.913,00000000
580450,2436.677,00000000
580460,2431.944,00000000
580470,2566.892,00000000
580480,2593.155,00000000
580490,3131.797,00000000
580500,2865.802,00000000
580510,2729.810,00000000
580520,2740.550,00000000
580530,2715.949,00000000
580540,2705.713,00000000
580550,2686.814,00000000
580560,2722.357,00000000
580570,2781.009,00000000
580580,2782.053,00000000
580590,3382.172,00000000
580600,3148.148,00000000
580610,3198.946,00000000
580620,3196.559,00000000
580630,3222.645,00000000
580640,3285.893,00000000
580650,3282.162,00000000
580660,3283.796,00000000
580670,3359.331,00000000
580680,3293.200,00000000
580690,3319.732,00000000
580700,3669.950,00000000
580710,3472.325,00000000
580720,3336.331,00000000
580730,3261.566,00000000
580740,3260.343,00000000
580750,3292.532,00000000
580760,3256.147,00000000
580770,3389.234,00000000
580780,3400.356,00000000
580790,3412.704,00000000
580800,3524.610,00000000
580810,3706.614,00000000
580820,3498.047,00000000
580830,3474.102,00000000
580840,3420.953,00000000
580850,3397.180,00000000
580860,3386.885,00000000
580870,3367.855,00000000
580880,3354.143,00000000
580890,3334.221,00000000
580900,3312.590,00000000
580910,3653.604,00000000
580920,3753.424,00000000
580930,3628.476,00000000
580940,3565.187,00000000
580950,3563.426,00000000
580960,3500.243,00000000
580970,3550.872,00000000
580980,3465.455,00000000
580990,3520.009,00000000
581000,3494.921,00000000
581010,3536.979,00000000
581020,3975.370,00000000
581030,3690.276,00000000
581040,3562.110,00000000
581050,3534.666,00000000
581060,3507.188,00000000
581070,3717.718,00000000
581080,3816.008,00000000
581090,3825.019,00000000
581100,3802.315,00000000
581110,3742.421,00000000
581120,3866.505,00000000
581130,4176.658,00000000
581140,3936.153,00000000
581150,3885.563,00000000
581160,3875.842,00000000
581170,3820.473,00000000
581180,3854.248,00000000
581190,3832.798,00000000
581200,3848.412,00000000
581210,3737.454,00000000
581220,3606.601,00000000
581230,3979.149,00000000
581240,3693.681,00000000
581250,3626.315,00000000
581260,3677.867,00000000
581270,3667.411,00000000
581280,3599.853,00000000
581290,3627.736,00000000
581300,3669.855,00000000
581310,3663.911,00000000
581320,3707.360,00000000
581330,3633.326,00000000
581340,4255.533,00000000
581350,3863.525,00000000
581360,3715.330,00000000
581370,3641.044,00000000
581380,3545.352,00000000
581390,3486.175,00000000
581400,3495.837,00000000
581410,3464.036,00000000
581420,3495.337,00000000
581430,3490.963,00000000
581440,3903.239,00000000
581450,3610.573,00000000
581460,3476.644,00000000
581470,3426.975,00000000
581480,3425.237,00000000
581490,3366.253,00000000
581500,3375.080,00000000
581510,3377.741,00000000
581520,3374.417,00000000
581530,3310.201,00000000
581540,3782.674,00000000
581550,3386.898,00000000
581560,3265.111,00000000
581570,3226.159,00000000
581580,3197.205,00000000
581590,3201.759,00000000
581600,3237.750,00000000
581610,3170.204,00000000
581620,3173.912,00000000
581630,3140.889,00000000
581640,3190.851,00000000
581650,3607.636,00000000
581660,3261.526,00000000
581670,3209.791,00000000
581680,2956.856,00000000
581690,2897.260,00000000
581700,2894.694,00000000
581710,2887.837,00000000
581720,2850.292,00000000
581730,2773.464,00000000
581740,2835.877,00000000
581750,2848.771,00000000
581760,3295.067,00000000
581770,2986.220,00000000
581780,2820.875,00000000
581790,2790.634,00000000
581800,2733.303,00000000
581810,2718.281,00000000
581820,2681.036,00000000
581830,2545.070,00000000
581840,2481.068,00000000
581850,2398.375,00000000
581860,2379.747,00000000
581870,2722.660,00000000
581880,2474.155,00000000
581890,2388.376,00000000
581900,2352.242,00000000
581910,2372.461,00000000
581920,2357.310,00000000
581930,2329.731,00000000
581940,2425.855,00000000
581950,2457.849,00000000
581960,2498.029,00000000
581970,2962.639,00000000
581980,2589.769,00000000
581990,2398.779,00000000
582000,2309.159,00000000
582010,2262.282,00000000
582020,2275.551,00000000
582030,2345.592,00000000
582040,2300.117,00000000
582050,2320.691,00000000
582060,2302.384,00000000
582070,2361.614,00000000
582080,2646.493,00000000
582090,2513.177,00000000
582100,2448.282,00000000
582110,2422.208,00000000
582120,2411.524,00000000
582130,2258.621,00000000
582140,2170.220,00000000
582150,2225.017,00000000
582160,2146.578,00000000
582170,2243.628,00000000
582180,2560.910,00000000
582190,2357.609,00000000
582200,2286.835,00000000
582210,2219.711,00000000
582220,2278.151,00000000
582230,2245.573,00000000
582240,2268.947,00000000
582250,2318.385,00000000
582260,2326.737,00000000
582270,2332.581,00000000
582280,2124.123,00000000
582290,2350.104,00000000
582300,2127.330,00000000
582310,2098.902,00000000
582320,2054.549,00000000
582330,2038.132,00000000
582340,2035.660,00000000
582350,2074.357,00000000
582360,2091.314,00000000
582370,2058.986,00000000
582380,2082.480,00000000
582390,2540.005,00000000
582400,2417.823,00000000
582410,2219.591,00000000
582420,2174.039,00000000
582430,1869.537,00000000
582440,1810.106,00000000
582450,1827.491,00000000
582460,1817.996,00000000
582470,1807.677,00000000
582480,1761.664,00000000
582490,1799.002,00000000
582500,2396.547,00000000
582510,2013.962,00000000
582520,2116.448,00000000
582530,1849.014,00000000
582540,1714.645,00000000
582550,1668.113,00000000
582560,1626.262,00000000
582570,1623.155,00000000
582580,1598.077,00000000
582590,1476.332,00000000
582600,2098.272,00000000
582610,1731.439,00000000
582620,1485.767,00000000
582630,1415.627,00000000
582640,1438.993,00000000
582650,1424.675,00000000
582660,1401.896,00000000
582670,1419.748,00000000
582680,1427.483,00000000
582690,1430.276,00000000
582700,1417.613,00000000
582710,1789.193,00000000
582720,1563.424,00000000
