Timestamp(ms),Current(uA),D0-D7
17980,1422.457,00000000
17990,1860.002,00000000
18000,1522.524,00000000
18010,1447.698,00000000
18020,1390.007,00000000
18030,1416.132,00000000
18040,1422.311,00000000
18050,1378.056,00000000
18060,1406.176,00000000
18070,1402.288,00000000
18080,1361.732,00000000
18090,1730.886,00000000
18100,1713.024,00000000
18110,1535.249,00000000
18120,1453.557,00000000
18130,1427.026,00000000
18140,1444.791,00000000
18150,1451.600,00000000
18160,1430.298,00000000
18170,1391.013,00000000
18180,1430.154,00000000
18190,1450.224,00000000
18200,1975.637,00000000
18210,1636.245,00000000
18220,1484.083,00000000
18230,1443.995,00000000
18240,1472.480,00000000
18250,1384.128,00000000
18260,1414.477,00000000
18270,1439.379,00000000
18280,1386.772,00000000
18290,1377.073,00000000
18300,1373.840,00000000
18310,1791.658,00000000
18320,1566.062,00000000
18330,1486.890,00000000
18340,1432.592,00000000
18350,1398.964,00000000
18360,1422.194,00000000
18370,1437.015,00000000
18380,1427.185,00000000
18390,1444.992,00000000
18400,1391.080,00000000
18410,1443.441,00000000
18420,1757.446,00000000
18430,1518.132,00000000
18440,1517.387,00000000
18450,1444.272,00000000
18460,1404.952,00000000
18470,1416.185,00000000
18480,1408.548,00000000
18490,1408.214,00000000
18500,1364.285,00000000
18510,1402.488,00000000
18520,1943.733,00000000
18530,1588.490,00000000
18540,1510.344,00000000
18550,1396.777,00000000
18560,1412.539,00000000
18570,1358.571,00000000
18580,1402.019,00000000
18590,1363.039,00000000
18600,1396.470,00000000
18610,1450.678,00000000
18620,1430.940,00000000
18630,1972.929,00000000
18640,1627.443,00000000
18650,1501.763,00000000
18660,1425.312,00000000
18670,1441.068,00000000
18680,1429.802,00000000
18690,1434.534,00000000
18700,1381.225,00000000
18710,1458.326,00000000
18720,1418.869,00000000
18730,1884.555,00000000
18740,1571.099,00000000
18750,1470.558,00000000
18760,1401.186,00000000
18770,1441.855,00000000
18780,1378.079,00000000
18790,1397.072,00000000
18800,1400.103,00000000
18810,1391.675,00000000
18820,1399.986,00000000
18830,1463.383,00000000
18840,1730.837,00000000
18850,1510.658,00000000
18860,1465.770,00000000
18870,1485.860,00000000
18880,1374.450,00000000
18890,1463.834,00000000
18900,1415.042,00000000
18910,1466.470,00000000
18920,1427.062,00000000
18930,1406.913,00000000
18940,1878.290,00000000
18950,1556.375,00000000
18960,1458.025,00000000
18970,1422.679,00000000
18980,1429.518,00000000
18990,1467.160,00000000
19000,1412.031,00000000
19010,1425.031,00000000
19020,1437.516,00000000
19030,1367.755,00000000
19040,1791.688,00000000
19050,1503.573,00000000
19060,1455.930,00000000
19070,1480.417,00000000
19080,1395.912,00000000
19090,1397.810,00000000
19100,1385.349,00000000
19110,1414.922,00000000
19120,1380.866,00000000
19130,1407.397,00000000
19140,1788.859,00000000
19150,1700.633,00000000
19160,1572.397,00000000
19170,1465.581,00000000
19180,1401.120,00000000
19190,1411.203,00000000
19200,1404.448,00000000
19210,1364.581,00000000
19220,1408.685,00000000
19230,1403.160,00000000
19240,1472.359,00000000
19250,1654.244,00000000
19260,1492.304,00000000
19270,1476.655,00000000
19280,1396.031,00000000
19290,1419.833,00000000
19300,1380.146,00000000
19310,1440.071,00000000
19320,1377.546,00000000
19330,1356.233,00000000
19340,1415.003,00000000
19350,1596.899,00000000
19360,1488.579,00000000
19370,1419.544,00000000
19380,1423.225,00000000
19390,1410.689,00000000
19400,1411.945,00000000
19410,1434.086,00000000
19420,1426.778,00000000
19430,1387.241,00000000
19440,1393.808,00000000
19450,1921.189,00000000
19460,1626.146,00000000
19470,1452.102,00000000
19480,1407.786,00000000
19490,1425.424,00000000
19500,1383.581,00000000
19510,1393.299,00000000
19520,1393.306,00000000
19530,1351.008,00000000
19540,1402.609,00000000
19550,1483.149,00000000
19560,1735.128,00000000
19570,1511.612,00000000
19580,1425.714,00000000
19590,1475.509,00000000
19600,1436.276,00000000
19610,1423.873,00000000
19620,1370.633,00000000
19630,1385.464,00000000
19640,1418.582,00000000
19650,1415.951,00000000
