Timestamp(ms),Current(uA),D0-D7
13630,14128.965,00000000
13640,14268.052,00000000
13650,14304.664,00000000
13660,14288.491,00000000
13670,14275.745,00000000
13680,14272.061,00000000
13690,14315.277,00000000
13700,14240.049,00000000
13710,14317.761,00000000
13720,14287.061,00000000
13730,14577.271,00000000
13740,14412.635,00000000
13750,14310.744,00000000
13760,14296.526,00000000
13770,14269.831,00000000
13780,14240.805,00000000
13790,13994.530,00000000
13800,13903.562,00000000
13810,13890.836,00000000
13820,13819.743,00000000
13830,14115.703,00000000
13840,13855.795,00000000
13850,13847.510,00000000
13860,13796.043,00000000
13870,13775.801,00000000
13880,13774.098,00000000
13890,13764.652,00000000
13900,13717.152,00000000
13910,13786.290,00000000
13920,13719.997,00000000
13930,14055.583,00000000
13940,13488.187,00000000
13950,13288.788,00000000
13960,13258.208,00000000
13970,13239.287,00000000
13980,13216.293,00000000
13990,13288.334,00000000
14000,13322.896,00000000
14010,13421.033,00000000
14020,13365.755,00000000
14030,13462.338,00000000
14040,13758.594,00000000
14050,13644.226,00000000
14060,13593.383,00000000
14070,13600.051,00000000
14080,13616.526,00000000
14090,13364.730,00000000
14100,13206.152,00000000
14110,13254.274,00000000
14120,13255.209,00000000
14130,13357.632,00000000
14140,13693.260,00000000
14150,13630.577,00000000
14160,13491.897,00000000
14170,13582.088,00000000
14180,13537.145,00000000
14190,13531.119,00000000
14200,13402.423,00000000
14210,13427.391,00000000
14220,13423.718,00000000
14230,13408.022,00000000
14240,13894.274,00000000
14250,13407.294,00000000
14260,13279.761,00000000
14270,13190.239,00000000
14280,13047.256,00000000
14290,13081.542,00000000
14300,13054.903,00000000
14310,13097.199,00000000
14320,13000.521,00000000
14330,12997.540,00000000
14340,12984.009,00000000
14350,13477.225,00000000
14360,13147.620,00000000
14370,12936.159,00000000
14380,12863.552,00000000
14390,12916.361,00000000
14400,12655.906,00000000
14410,12543.012,00000000
14420,12496.154,00000000
14430,12492.744,00000000
14440,12414.958,00000000
14450,12922.004,00000000
14460,12633.173,00000000
14470,12468.136,00000000
14480,12251.305,00000000
14490,12257.897,00000000
14500,12163.907,00000000
14510,12195.098,00000000
14520,12090.049,00000000
14530,12162.401,00000000
14540,12139.954,00000000
14550,11884.417,00000000
14560,12281.548,00000000
14570,11997.905,00000000
14580,11803.804,00000000
14590,11698.873,00000000
14600,11635.718,00000000
14610,11531.636,00000000
14620,11546.359,00000000
14630,11547.403,00000000
14640,11582.852,00000000
14650,11538.243,00000000
14660,11579.895,00000000
14670,11971.052,00000000
14680,11828.258,00000000
14690,11783.528,00000000
14700,11395.132,00000000
14710,11354.729,00000000
14720,11351.045,00000000
14730,11374.459,00000000
14740,11294.442,00000000
14750,11350.512,00000000
14760,11266.729,00000000
14770,11935.946,00000000
14780,11610.060,00000000
14790,11566.021,00000000
14800,11526.840,00000000
14810,11494.863,00000000
14820,11548.390,00000000
14830,11584.818,00000000
14840,11574.368,00000000
14850,11325.401,00000000
14860,11165.030,00000000
14870,11186.960,00000000
14880,11545.626,00000000
14890,11281.884,00000000
14900,11198.625,00000000
14910,11198.325,00000000
14920,11154.698,00000000
14930,11202.182,00000000
14940,11166.794,00000000
14950,11212.264,00000000
14960,11268.614,00000000
