Timestamp(ms),Current(uA),D0-D7
4680,11781.911,00000000
4690,11482.610,00000000
4700,11381.252,00000000
4710,12020.131,00000000
4720,11479.645,00000000
4730,11472.813,00000000
4740,11750.188,00000000
4750,11542.566,00000000
4760,11549.571,00000000
4770,11862.626,00000000
4780,11445.028,00000000
4790,11538.783,00000000
4800,12022.047,00000000
4810,11437.509,00000000
4820,11266.256,00000000
4830,11764.267,00000000
4840,11512.549,00000000
4850,11430.393,00000000
4860,11379.378,00000000
4870,11324.440,00000000
4880,11665.678,00000000
4890,11562.312,00000000
4900,11368.001,00000000
4910,11715.213,00000000
4920,11756.458,00000000
4930,11567.528,00000000
4940,11832.475,00000000
4950,11590.217,00000000
4960,11455.184,00000000
4970,11752.987,00000000
4980,11678.490,00000000
4990,11516.455,00000000
5000,11696.938,00000000
5010,11808.909,00000000
5020,11567.696,00000000
5030,11691.595,00000000
5040,11626.027,00000000
5050,11682.964,00000000
5060,11620.063,00000000
5070,12003.085,00000000
5080,11569.983,00000000
5090,11472.405,00000000
5100,12118.998,00000000
5110,11779.385,00000000
5120,11742.105,00000000
5130,12055.947,00000000
5140,11833.079,00000000
5150,11810.135,00000000
5160,12062.291,00000000
5170,11724.938,00000000
5180,11838.504,00000000
5190,12255.386,00000000
5200,11653.708,00000000
5210,11389.084,00000000
5220,11786.779,00000000
5230,11452.417,00000000
5240,11308.507,00000000
5250,11679.093,00000000
5260,11314.354,00000000
5270,11362.349,00000000
5280,11648.021,00000000
5290,11361.028,00000000
5300,11356.716,00000000
5310,11891.799,00000000
5320,11370.721,00000000
5330,11446.269,00000000
5340,11423.882,00000000
5350,11252.908,00000000
5360,11549.287,00000000
5370,11602.276,00000000
5380,11372.666,00000000
5390,11589.079,00000000
5400,11654.592,00000000
5410,11448.445,00000000
5420,11585.563,00000000
5430,11485.009,00000000
5440,11551.259,00000000
5450,11737.053,00000000
5460,11621.645,00000000
5470,11467.252,00000000
5480,11803.226,00000000
5490,11725.086,00000000
5500,11312.498,00000000
5510,11599.423,00000000
5520,11623.265,00000000
5530,11510.913,00000000
5540,11759.329,00000000
5550,11667.747,00000000
5560,11454.601,00000000
5570,11676.600,00000000
5580,11977.575,00000000
5590,11556.771,00000000
5600,11549.733,00000000
5610,11957.164,00000000
5620,11614.266,00000000
5630,11578.398,00000000
5640,11907.691,00000000
5650,11499.036,00000000
5660,11667.012,00000000
5670,12207.910,00000000
5680,11699.343,00000000
5690,11678.900,00000000
5700,12351.331,00000000
5710,11901.146,00000000
5720,11756.482,00000000
5730,12154.197,00000000
5740,11727.265,00000000
5750,11520.111,00000000
5760,11724.944,00000000
5770,11406.166,00000000
5780,11355.810,00000000
5790,11832.497,00000000
5800,11437.287,00000000
5810,11435.211,00000000
5820,11345.150,00000000
5830,11370.578,00000000
5840,11625.871,00000000
5850,11537.108,00000000
5860,11267.752,00000000
5870,11654.854,00000000
5880,11455.315,00000000
5890,11211.004,00000000
5900,11506.485,00000000
5910,11391.034,00000000
5920,11478.868,00000000
5930,11748.135,00000000
5940,11521.411,00000000
5950,11324.687,00000000
5960,11573.637,00000000
5970,11558.685,00000000
5980,11296.854,00000000
5990,11550.018,00000000
6000,11683.840,00000000
6010,11389.479,00000000
6020,11605.603,00000000
6030,11540.988,00000000
6040,11359.520,00000000
6050,11457.046,00000000
6060,12056.818,00000000
6070,11706.476,00000000
6080,11598.896,00000000
6090,12037.874,00000000
6100,11545.311,00000000
6110,11520.574,00000000
6120,11878.353,00000000
6130,11908.423,00000000
6140,11754.771,00000000
6150,12170.751,00000000
6160,11611.438,00000000
6170,11561.711,00000000
6180,12084.971,00000000
6190,11625.905,00000000
6200,11550.041,00000000
6210,11962.545,00000000
6220,11711.482,00000000
6230,11726.394,00000000
6240,12101.388,00000000
6250,11731.609,00000000
6260,11788.148,00000000
6270,12105.904,00000000
6280,11637.272,00000000
6290,11644.796,00000000
6300,11485.458,00000000
6310,11380.771,00000000
6320,11467.993,00000000
6330,11407.095,00000000
6340,11332.606,00000000
6350,11608.847,00000000
6360,11463.172,00000000
6370,11384.058,00000000
6380,11540.569,00000000
6390,11596.715,00000000
6400,11300.249,00000000
6410,11687.019,00000000
6420,11498.379,00000000
6430,11343.944,00000000
6440,11689.878,00000000
6450,11622.340,00000000
6460,11406.450,00000000
6470,11641.925,00000000
6480,11672.426,00000000
6490,11470.515,00000000
6500,11627.594,00000000
6510,11504.304,00000000
6520,11505.936,00000000
6530,11731.368,00000000
6540,11496.338,00000000
6550,11382.884,00000000
6560,11468.283,00000000
6570,12074.313,00000000
6580,11495.620,00000000
6590,11508.037,00000000
6600,11748.799,00000000
6610,11549.535,00000000
6620,11484.634,00000000
6630,11897.836,00000000
6640,11541.741,00000000
6650,11594.771,00000000
6660,12097.769,00000000
6670,11726.882,00000000
6680,11534.322,00000000
6690,12040.826,00000000
6700,11758.675,00000000
6710,11626.553,00000000
6720,11971.088,00000000
6730,11606.573,00000000
6740,11601.096,00000000
6750,12134.195,00000000
6760,11636.633,00000000
6770,11716.652,00000000
6780,11867.532,00000000
6790,11552.622,00000000
6800,11795.827,00000000
6810,11668.614,00000000
6820,11506.507,00000000
6830,11726.010,00000000
6840,11514.838,00000000
6850,11339.429,00000000
6860,11388.231,00000000
6870,11492.595,00000000
6880,11297.096,00000000
6890,11526.309,00000000
6900,11465.788,00000000
6910,11303.955,00000000
6920,11581.161,00000000
6930,11464.489,00000000
6940,11247.031,00000000
6950,11731.430,00000000
6960,11589.886,00000000
6970,11401.483,00000000
6980,11547.746,00000000
6990,11563.692,00000000
7000,11436.913,00000000
7010,11624.547,00000000
7020,11534.525,00000000
7030,11391.244,00000000
7040,11456.137,00000000
7050,11942.417,00000000
7060,11488.805,00000000
7070,11471.025,00000000
7080,11951.343,00000000
7090,11582.490,00000000
7100,11434.889,00000000
7110,11866.196,00000000
7120,11499.394,00000000
7130,11512.794,00000000
7140,11952.102,00000000
7150,11547.944,00000000
7160,11414.590,00000000
7170,12115.438,00000000
7180,11553.394,00000000
7190,11569.101,00000000
7200,11847.815,00000000
7210,11701.636,00000000
7220,11613.411,00000000
7230,12030.169,00000000
7240,11663.817,00000000
7250,11501.077,00000000
7260,11627.224,00000000
7270,11494.391,00000000
7280,11772.372,00000000
7290,11788.496,00000000
7300,11669.172,00000000
7310,11950.624,00000000
7320,11770.487,00000000
7330,11608.515,00000000
7340,11971.335,00000000
7350,11789.031,00000000
7360,11655.062,00000000
7370,11767.539,00000000
7380,11580.569,00000000
7390,11542.329,00000000
7400,11364.021,00000000
7410,11651.516,00000000
7420,11222.049,00000000
7430,11549.548,00000000
7440,11508.903,00000000
7450,11294.347,00000000
7460,11517.964,00000000
7470,11589.257,00000000
7480,11357.653,00000000
7490,11411.013,00000000
7500,11789.797,00000000
7510,11530.704,00000000
7520,11467.782,00000000
7530,11749.597,00000000
7540,11318.888,00000000
7550,11415.757,00000000
7560,12006.260,00000000
7570,11519.323,00000000
7580,11362.896,00000000
7590,11822.913,00000000
7600,11470.150,00000000
7610,11361.005,00000000
7620,11839.584,00000000
7630,11525.047,00000000
7640,11477.172,00000000
7650,12021.296,00000000
7660,11604.848,00000000
7670,11500.548,00000000
7680,11863.067,00000000
7690,11509.327,00000000
7700,11429.857,00000000
7710,11894.058,00000000
7720,11503.536,00000000
7730,11607.207,00000000
7740,11598.421,00000000
7750,11488.971,00000000
7760,11699.185,00000000
7770,11781.640,00000000
7780,11569.894,00000000
7790,11751.434,00000000
7800,11707.971,00000000
7810,11544.891,00000000
7820,11755.318,00000000
7830,11675.470,00000000
7840,11478.435,00000000
7850,11783.504,00000000
7860,11876.933,00000000
7870,11652.653,00000000
7880,11793.764,00000000
7890,11838.446,00000000
7900,11806.594,00000000
7910,11987.947,00000000
7920,11756.693,00000000
7930,11545.528,00000000
7940,11575.410,00000000
7950,11653.353,00000000
7960,11374.517,00000000
7970,11397.828,00000000
7980,11597.305,00000000
7990,11390.326,00000000
8000,11275.294,00000000
8010,11690.956,00000000
8020,11435.320,00000000
8030,11540.735,00000000
8040,11964.907,00000000
8050,11488.086,00000000
8060,11366.633,00000000
8070,11797.976,00000000
8080,11454.907,00000000
8090,11454.181,00000000
8100,11807.154,00000000
8110,11450.522,00000000
8120,11491.490,00000000
8130,12015.754,00000000
8140,11580.939,00000000
8150,11453.479,00000000
8160,11980.581,00000000
8170,11571.396,00000000
8180,11450.625,00000000
8190,11636.854,00000000
8200,11398.275,00000000
8210,11649.210,00000000
8220,11682.956,00000000
8230,11403.503,00000000
8240,11638.168,00000000
8250,11872.313,00000000
8260,11404.773,00000000
8270,11725.463,00000000
8280,11573.618,00000000
8290,11627.180,00000000
8300,11801.725,00000000
8310,11714.662,00000000
8320,11458.153,00000000
8330,11698.866,00000000
8340,11711.295,00000000
8350,11570.257,00000000
8360,11722.272,00000000
8370,11657.857,00000000
8380,11555.073,00000000
8390,11908.844,00000000
8400,11659.520,00000000
8410,11554.044,00000000
8420,11907.838,00000000
8430,11875.181,00000000
8440,11678.062,00000000
8450,11725.605,00000000
8460,12082.469,00000000
8470,11649.269,00000000
8480,11682.761,00000000
8490,11888.330,00000000
8500,11479.079,00000000
8510,11489.802,00000000
8520,11838.346,00000000
8530,11459.101,00000000
8540,11340.488,00000000
8550,11839.103,00000000
8560,11314.305,00000000
8570,11373.101,00000000
8580,11790.187,00000000
8590,11410.613,00000000
8600,11428.685,00000000
8610,11819.430,00000000
8620,11349.668,00000000
8630,11371.339,00000000
8640,12001.149,00000000
8650,11531.557,00000000
8660,11410.837,00000000
8670,11582.486,00000000
8680,11459.534,00000000
8690,11644.037,00000000
8700,11668.805,00000000
8710,11424.906,00000000
8720,11590.063,00000000
8730,11632.779,00000000
8740,11442.696,00000000
8750,11705.745,00000000
8760,11581.354,00000000
8770,11502.265,00000000
8780,11814.037,00000000
8790,11645.016,00000000
8800,11412.647,00000000
8810,11799.185,00000000
8820,11616.775,00000000
8830,11491.176,00000000
8840,11648.563,00000000
8850,11620.970,00000000
8860,11498.364,00000000
8870,11749.333,00000000
8880,11655.525,00000000
8890,11474.068,00000000
8900,11625.094,00000000
8910,11700.214,00000000
8920,11540.892,00000000
8930,11718.227,00000000
8940,12250.489,00000000
8950,11944.713,00000000
8960,11739.024,00000000
8970,11962.696,00000000
8980,11646.534,00000000
8990,11888.572,00000000
9000,12156.031,00000000
9010,11780.043,00000000
9020,11710.021,00000000
9030,12112.166,00000000
9040,11757.340,00000000
9050,11628.282,00000000
9060,11960.009,00000000
9070,11568.507,00000000
9080,11440.100,00000000
9090,11843.574,00000000
9100,11375.388,00000000
9110,11319.599,00000000
9120,11833.182,00000000
9130,11392.822,00000000
9140,11263.200,00000000
9150,11735.568,00000000
9160,11401.510,00000000
9170,11370.565,00000000
9180,11476.678,00000000
9190,11264.077,00000000
9200,11456.770,00000000
9210,11600.639,00000000
9220,11332.417,00000000
9230,11622.101,00000000
9240,11484.844,00000000
9250,11496.894,00000000
9260,11576.217,00000000
9270,11560.165,00000000
9280,11406.299,00000000
9290,11605.413,00000000
9300,11435.407,00000000
9310,11325.807,00000000
9320,11471.477,00000000
9330,11584.822,00000000
9340,11505.386,00000000
9350,11772.686,00000000
9360,11709.344,00000000
9370,11380.088,00000000
9380,11838.010,00000000
9390,11608.452,00000000
9400,11383.875,00000000
9410,11660.935,00000000
9420,11594.424,00000000
9430,11460.563,00000000
9440,11487.494,00000000
9450,11893.441,00000000
9460,11607.310,00000000
9470,11745.043,00000000
9480,12019.063,00000000
9490,11638.415,00000000
9500,11581.555,00000000
9510,12266.514,00000000
9520,11755.222,00000000
9530,11689.895,00000000
9540,11934.751,00000000
9550,11702.423,00000000
9560,11668.764,00000000
9570,12069.499,00000000
9580,11629.811,00000000
9590,11638.958,00000000
9600,11784.900,00000000
9610,11451.775,00000000
9620,11622.252,00000000
9630,11834.714,00000000
9640,11425.905,00000000
9650,11293.929,00000000
9660,11622.357,00000000
9670,11333.571,00000000
9680,11397.105,00000000
9690,11510.819,00000000
9700,11188.379,00000000
9710,11546.198,00000000
9720,11568.857,00000000
9730,11487.308,00000000
9740,11662.896,00000000
9750,11569.688,00000000
9760,11323.298,00000000
9770,11636.097,00000000
9780,11588.880,00000000
9790,11382.622,00000000
9800,11472.938,00000000
9810,11535.825,00000000
9820,11478.211,00000000
9830,11621.329,00000000
9840,11522.729,00000000
9850,11337.118,00000000
9860,11620.053,00000000
9870,11585.758,00000000
9880,11240.553,00000000
9890,11581.224,00000000
9900,11534.294,00000000
9910,11322.261,00000000
9920,11295.332,00000000
9930,11759.539,00000000
9940,11665.259,00000000
9950,11671.552,00000000
9960,11949.341,00000000
9970,11496.209,00000000
9980,11497.510,00000000
9990,12078.613,00000000
10000,11519.338,00000000
10010,11528.997,00000000
10020,11901.645,00000000
10030,11750.709,00000000
10040,11616.850,00000000
10050,11951.475,00000000
10060,11649.961,00000000
10070,11841.899,00000000
10080,12295.026,00000000
10090,11775.379,00000000
10100,11621.455,00000000
10110,12003.697,00000000
10120,11838.023,00000000
10130,11781.285,00000000
10140,12031.225,00000000
10150,11718.091,00000000
10160,11632.550,00000000
10170,11584.119,00000000
10180,11308.831,00000000
10190,11476.306,00000000
10200,11557.002,00000000
10210,11242.717,00000000
10220,11601.340,00000000
10230,11463.018,00000000
10240,11240.547,00000000
10250,11563.951,00000000
10260,11503.852,00000000
10270,11319.045,00000000
10280,11488.744,00000000
10290,11524.446,00000000
10300,11360.559,00000000
10310,11516.071,00000000
10320,11428.738,00000000
10330,11344.723,00000000
10340,11599.549,00000000
10350,11594.364,00000000
10360,11344.849,00000000
10370,11457.331,00000000
10380,11430.355,00000000
10390,11365.056,00000000
10400,11466.798,00000000
10410,11647.682,00000000
10420,11565.244,00000000
10430,11549.171,00000000
10440,11948.445,00000000
10450,11451.612,00000000
10460,11550.056,00000000
10470,12031.001,00000000
10480,11565.221,00000000
10490,11447.754,00000000
10500,12049.074,00000000
10510,11621.914,00000000
10520,11520.928,00000000
10530,11918.739,00000000
10540,11636.736,00000000
10550,11677.391,00000000
10560,11989.056,00000000
10570,11655.817,00000000
10580,11521.304,00000000
10590,12142.562,00000000
10600,11639.373,00000000
10610,11655.951,00000000
10620,11891.123,00000000
10630,11707.839,00000000
10640,11635.541,00000000
10650,11564.471,00000000
10660,11539.174,00000000
10670,11754.951,00000000
10680,11783.245,00000000
10690,11578.227,00000000
10700,11790.877,00000000
10710,11685.890,00000000
10720,11581.927,00000000
10730,11586.859,00000000
10740,11477.680,00000000
10750,11235.773,00000000
10760,11598.015,00000000
10770,11545.970,00000000
10780,11385.892,00000000
10790,11598.208,00000000
10800,11433.630,00000000
10810,11320.196,00000000
10820,11601.166,00000000
10830,11538.063,00000000
10840,11270.962,00000000
10850,11689.229,00000000
10860,11507.794,00000000
10870,11338.967,00000000
10880,11327.451,00000000
10890,11799.750,00000000
10900,11449.091,00000000
10910,11505.425,00000000
10920,11802.433,00000000
10930,11519.195,00000000
10940,11449.871,00000000
10950,11985.876,00000000
10960,11527.852,00000000
10970,11535.936,00000000
10980,11951.883,00000000
10990,11576.964,00000000
11000,11474.224,00000000
11010,11873.428,00000000
11020,11574.814,00000000
11030,11475.663,00000000
11040,11950.643,00000000
11050,11646.916,00000000
11060,11437.776,00000000
11070,11919.504,00000000
11080,11569.513,00000000
11090,11644.722,00000000
11100,11668.989,00000000
11110,11654.977,00000000
11120,11901.031,00000000
11130,11726.731,00000000
11140,11493.370,00000000
11150,11931.220,00000000
11160,11788.798,00000000
11170,11532.901,00000000
11180,11852.525,00000000
11190,11804.057,00000000
11200,11715.385,00000000
11210,12014.428,00000000
11220,11829.756,00000000
11230,11628.475,00000000
11240,11816.096,00000000
11250,11631.697,00000000
11260,11259.945,00000000
11270,11501.313,00000000
11280,11471.259,00000000
11290,11250.015,00000000
11300,11548.703,00000000
11310,11335.515,00000000
11320,11211.852,00000000
11330,11351.093,00000000
11340,11652.245,00000000
11350,11337.953,00000000
11360,11300.366,00000000
11370,12008.453,00000000
11380,11623.134,00000000
11390,11476.055,00000000
11400,11822.991,00000000
11410,11625.635,00000000
11420,11574.689,00000000
11430,11873.636,00000000
11440,11404.008,00000000
11450,11344.350,00000000
11460,11989.964,00000000
11470,11587.669,00000000
11480,11450.920,00000000
11490,11771.827,00000000
11500,11510.933,00000000
11510,11390.140,00000000
11520,11811.598,00000000
11530,11469.856,00000000
11540,11678.145,00000000
11550,12062.601,00000000
11560,11506.562,00000000
11570,11446.071,00000000
11580,11495.635,00000000
11590,11519.114,00000000
11600,11762.888,00000000
11610,11647.558,00000000
11620,11573.268,00000000
11630,11894.854,00000000
11640,11743.146,00000000
11650,11622.194,00000000
11660,11744.875,00000000
11670,11845.062,00000000
11680,11611.152,00000000
11690,12009.383,00000000
11700,11749.870,00000000
11710,11575.816,00000000
11720,11919.583,00000000
11730,11820.065,00000000
11740,11635.758,00000000
11750,11790.276,00000000
11760,11812.036,00000000
11770,11463.664,00000000
11780,11622.032,00000000
11790,11493.471,00000000
11800,11464.761,00000000
11810,11586.248,00000000
11820,11449.862,00000000
11830,11227.199,00000000
11840,11404.244,00000000
11850,11868.959,00000000
11860,11291.116,00000000
11870,11336.604,00000000
11880,11711.382,00000000
11890,11472.787,00000000
11900,11465.980,00000000
11910,11915.110,00000000
11920,11453.208,00000000
11930,11547.020,00000000
11940,11993.313,00000000
11950,11422.004,00000000
11960,11367.685,00000000
11970,11770.133,00000000
11980,11453.369,00000000
11990,11371.715,00000000
12000,11792.006,00000000
12010,11391.778,00000000
12020,11362.172,00000000
12030,11953.362,00000000
12040,11454.027,00000000
12050,11430.795,00000000
12060,11700.874,00000000
12070,11497.192,00000000
12080,11678.607,00000000
12090,11582.950,00000000
12100,11513.770,00000000
12110,11819.981,00000000
12120,11570.960,00000000
12130,11480.479,00000000
12140,11626.529,00000000
12150,11762.937,00000000
12160,11518.225,00000000
12170,11761.707,00000000
12180,11475.242,00000000
12190,11550.574,00000000
12200,11769.956,00000000
12210,11630.018,00000000
12220,11500.804,00000000
12230,11757.645,00000000
12240,11680.062,00000000
12250,11616.037,00000000
12260,11938.568,00000000
12270,11914.400,00000000
12280,11688.344,00000000
12290,11910.664,00000000
12300,11667.859,00000000
12310,11414.103,00000000
12320,11482.293,00000000
12330,11858.111,00000000
12340,11434.029,00000000
12350,11489.793,00000000
12360,11811.913,00000000
12370,11322.538,00000000
12380,11300.066,00000000
12390,11803.351,00000000
12400,11415.732,00000000
12410,11416.245,00000000
12420,11791.455,00000000
12430,11385.730,00000000
12440,11344.364,00000000
12450,11907.854,00000000
12460,11392.593,00000000
12470,11344.536,00000000
12480,11852.434,00000000
12490,11713.646,00000000
12500,11536.001,00000000
12510,11858.398,00000000
12520,11456.251,00000000
12530,11393.391,00000000
12540,11969.403,00000000
12550,11489.331,00000000
12560,11574.908,00000000
12570,11540.262,00000000
12580,11502.213,00000000
12590,11748.275,00000000
12600,11582.543,00000000
12610,11415.849,00000000
12620,11807.857,00000000
12630,11619.374,00000000
12640,11414.924,00000000
12650,11583.209,00000000
12660,11656.656,00000000
12670,11579.998,00000000
12680,11865.893,00000000
12690,11612.817,00000000
12700,11428.958,00000000
12710,11752.488,00000000
12720,11717.903,00000000
12730,11500.227,00000000
12740,11678.382,00000000
12750,11670.332,00000000
12760,11443.499,00000000
12770,11779.515,00000000
12780,11747.313,00000000
12790,11632.214,00000000
12800,11743.354,00000000
12810,11956.862,00000000
12820,11592.885,00000000
12830,11565.279,00000000
12840,12209.871,00000000
12850,11786.689,00000000
12860,11555.700,00000000
12870,11802.267,00000000
12880,11655.967,00000000
12890,11365.623,00000000
12900,11750.134,00000000
12910,11323.970,00000000
12920,11340.586,00000000
12930,11833.543,00000000
12940,11382.600,00000000
12950,11335.180,00000000
12960,11597.444,00000000
12970,11390.615,00000000
12980,11413.146,00000000
12990,11801.488,00000000
13000,11470.916,00000000
13010,11427.904,00000000
13020,12006.265,00000000
13030,11461.838,00000000
13040,11324.826,00000000
13050,11491.228,00000000
13060,11328.408,00000000
13070,11555.738,00000000
13080,11599.525,00000000
13090,11351.681,00000000
13100,11683.631,00000000
13110,11514.964,00000000
13120,11514.754,00000000
13130,11633.665,00000000
13140,11741.388,00000000
13150,11496.836,00000000
13160,11677.728,00000000
13170,11585.749,00000000
13180,11454.518,00000000
13190,11643.111,00000000
13200,11653.995,00000000
13210,11511.146,00000000
13220,11676.309,00000000
13230,11769.136,00000000
13240,11472.298,00000000
